description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 10:48:59
Time reading (minutes & seconds)	4m56.56s
Time solving (minutes & seconds)	14.46s
Time writing (minutes & seconds)	12.04s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
