description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Date & time problem solved	2017/11/15 - 21:38:22
Time reading (minutes & seconds)	52.32s
Time solving (minutes & seconds)	10.16s
Time writing (minutes & seconds)	1.3s
Total variables	472369
Total constraints	445338
Objective value	4.332666064E8
