description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	44
Prism version when problem solved	PRISM ALPHA 1.3.02
Date & time problem solved	2019/10/22 - 15:39:49
Time reading (minutes & seconds)	29.22s
Time solving (minutes & seconds)	16.42s
Time writing (minutes & seconds)	18.98s
Total variables	555370
Total constraints	521914
Objective value	5.39341738E7
