condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
51	layer5 F | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 N	null	0.0	true	
52	layer5 F | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 O	null	0.0	true	
53	layer5 F | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 P	null	0.0	true	
54	layer5 F | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 Q	null	0.0	true	
55	layer5 F | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 R	null	0.0	true	
56	layer5 F | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 F;5 S	null	0.0	true	
57	layer5 G | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 F	null	0.0	true	
58	layer5 G | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 G	null	0.0	true	
59	layer5 G | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 H	null	29.0	true	
60	layer5 G | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 I	null	29.0	true	
61	layer5 G | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 J	null	29.0	true	
62	layer5 G | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 K	null	29.0	true	
63	layer5 G | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 L	null	29.0	true	
64	layer5 G | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 M	null	29.0	true	
65	layer5 G | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 N	null	29.0	true	
66	layer5 G | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 O	null	29.0	true	
67	layer5 G | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 P	null	29.0	true	
68	layer5 G | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 Q	null	29.0	true	
69	layer5 G | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 R	null	29.0	true	
70	layer5 G | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 G;5 S	null	29.0	true	
71	layer5 H | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 F	null	0.0	true	
72	layer5 H | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 G	null	0.0	true	
73	layer5 H | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 H	null	0.0	true	
74	layer5 H | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 I	null	0.0	true	
75	layer5 H | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 J	null	0.0	true	
76	layer5 H | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 K	null	0.0	true	
77	layer5 H | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 L	null	0.0	true	
78	layer5 H | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 M	null	0.0	true	
79	layer5 H | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 N	null	0.0	true	
80	layer5 H | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 O	null	0.0	true	
81	layer5 H | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 P	null	0.0	true	
82	layer5 H | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 Q	null	0.0	true	
83	layer5 H | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 R	null	0.0	true	
84	layer5 H | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 H;5 S	null	0.0	true	
85	layer5 I | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 F	null	0.0	true	
86	layer5 I | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 G	null	0.0	true	
87	layer5 I | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 H	null	0.0	true	
88	layer5 I | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 I	null	0.0	true	
89	layer5 I | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 J	null	0.0	true	
90	layer5 I | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 K	null	0.0	true	
91	layer5 I | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 L	null	0.0	true	
92	layer5 I | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 M	null	0.0	true	
93	layer5 I | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 N	null	0.0	true	
94	layer5 I | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 O	null	0.0	true	
95	layer5 I | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 P	null	0.0	true	
96	layer5 I | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 Q	null	0.0	true	
97	layer5 I | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 R	null	0.0	true	
98	layer5 I | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 I;5 S	null	0.0	true	
99	layer5 T | layer6 F	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 F	null	0.0	true	
100	layer5 T | layer6 G	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 G	null	0.0	true	
101	layer5 T | layer6 H	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 H	null	0.0	true	
102	layer5 T | layer6 I	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 I	null	0.0	true	
103	layer5 T | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 J	null	0.0	true	
104	layer5 T | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 K	null	0.0	true	
105	layer5 T | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 L	null	0.0	true	
106	layer5 T | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 M	null	0.0	true	
107	layer5 T | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 N	null	0.0	true	
108	layer5 T | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 O	null	0.0	true	
109	layer5 T | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 T;5 P	null	0.0	true	
