description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	80
Prism version when problem solved	PRISM ALPHA 1.3.02
Date & time problem solved	2019/10/22 - 16:22:26
Time reading (minutes & seconds)	3m30.16s
Time solving (minutes & seconds)	5m6.65s
Time writing (minutes & seconds)	20.93s
Total variables	1700163
Total constraints	1530522
Objective value	1.782069818E7
