fly_id	fly_description	fly_type	fly_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	fly_value	
20	set constraint 20 - time period 20	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 20	NoIdentifier	NoIdentifier	1969223.0000004303	
21	set constraint 1 - silviculture method NG_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E;7 7	NoIdentifier	NoIdentifier	999606.2634221163	
22	set constraint 2 - silviculture method PB_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 PB_E;7 7	NoIdentifier	NoIdentifier	0.0	
23	set constraint 3 - silviculture method GS_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 GS_E;7 7	NoIdentifier	NoIdentifier	3874.0101921134874	
24	set constraint 4 - silviculture method EA_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 EA_E;7 7	NoIdentifier	NoIdentifier	240114.83313392985	
25	set constraint 5 - silviculture method MS_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 MS_E;7 7	NoIdentifier	NoIdentifier	295383.45000000007	
26	set constraint 6 - silviculture method BS_E	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 BS_E;7 7	NoIdentifier	NoIdentifier	59669.285	
27	set constraint 7 - silviculture method NG_R	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_R;7 7	NoIdentifier	NoIdentifier	128818.25657788367	
28	set constraint 8 - silviculture method PB_R	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 PB_R;7 7	NoIdentifier	NoIdentifier	0.0	
29	set constraint 9 - silviculture method GS_R	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 GS_R;7 7	NoIdentifier	NoIdentifier	28222.699104389307	
30	set constraint 10 - silviculture method EA_R	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L B W U G O;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 EA_R;7 7	NoIdentifier	NoIdentifier	213534.20256957342	
31	set constraint 1 - layer4 L - time period 1	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1	NoIdentifier	NoIdentifier	198763.9999999998	
32	set constraint 2 - layer4 L - time period 2	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 2	NoIdentifier	NoIdentifier	198763.99999999977	
33	set constraint 3 - layer4 L - time period 3	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 3	NoIdentifier	NoIdentifier	198763.99999999983	
34	set constraint 4 - layer4 L - time period 4	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 4	NoIdentifier	NoIdentifier	198763.99999999974	
35	set constraint 5 - layer4 L - time period 5	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 5	NoIdentifier	NoIdentifier	198763.9999999997	
36	set constraint 6 - layer4 L - time period 6	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 6	NoIdentifier	NoIdentifier	198763.99999999977	
37	set constraint 7 - layer4 L - time period 7	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 7	NoIdentifier	NoIdentifier	198763.9999999998	
38	set constraint 8 - layer4 L - time period 8	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 G l C s;3 L;4 B C D E F G H I;5 F G H I J K L M N O P Q R S;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 8	NoIdentifier	NoIdentifier	198763.9999999999	
