description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	54
Prism version when problem solved	PRISM ALPHA 1.1.07
Date & time problem solved	2018/05/26 - 03:58:24
Time reading (minutes & seconds)	22m2.34s
Time solving (minutes & seconds)	49.62s
Time writing (minutes & seconds)	1m35.94s
Total variables	11889245
Total constraints	11625113
Objective value	1.191281842E7
