var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
8753	xNGe_B,R,N,L,C,M,1	745.78	0.0	C_M_NG_E_0	0	good
8754	xNGe_B,R,N,L,C,M,2	745.481688	0.0	C_M_NG_E_0	1	good
8755	xNGe_B,R,N,L,C,M,3	745.1834953248	0.0	C_M_NG_E_0	2	good
8756	xNGe_B,R,N,L,C,M,4	744.8854219266701	0.0	C_M_NG_E_0	3	good
8785	xNGe_B,R,N,H,W,M,1	400.82	0.0	W_M_NG_E_0	0	good
8786	xNGe_B,R,N,H,W,M,2	400.659672	0.0	W_M_NG_E_0	1	good
8787	xNGe_B,R,N,H,W,M,3	400.4994081312	0.0	W_M_NG_E_0	2	good
8788	xNGe_B,R,N,H,W,M,4	400.33920836794755	0.0	W_M_NG_E_0	3	good
8813	xNGe_B,R,N,C,P,M,1	433.16	0.0	P_M_NG_E_0	0	good
8814	xNGe_B,R,N,C,P,M,2	432.98673600000006	0.0	P_M_NG_E_0	1	good
8815	xNGe_B,R,N,C,P,M,3	432.8135413056001	0.0	P_M_NG_E_0	2	good
8816	xNGe_B,R,N,C,P,M,4	432.6404158890779	0.0	P_M_NG_E_0	3	good
8837	xNGe_B,R,N,C,W,M,1	1715.0	0.0	W_M_NG_E_0	0	good
8838	xNGe_B,R,N,C,W,M,2	1714.314	0.0	W_M_NG_E_0	1	good
8839	xNGe_B,R,N,C,W,M,3	1713.6282744000002	0.0	W_M_NG_E_0	2	good
8840	xNGe_B,R,N,C,W,M,4	1712.9428230902404	0.0	W_M_NG_E_0	3	good
8849	xNGe_B,R,N,C,C,P,1	190.12	0.0	C_P_NG_E_0	0	good
8850	xNGe_B,R,N,C,C,P,2	190.04395200000002	0.0	C_P_NG_E_0	1	good
8851	xNGe_B,R,N,C,C,P,3	189.96793441920002	0.0	C_P_NG_E_0	2	good
8852	xNGe_B,R,N,C,C,P,4	189.89194724543236	0.0	C_P_NG_E_0	3	good
8853	xNGe_B,R,N,C,C,M,1	967.26	0.0	C_M_NG_E_0	0	good
8854	xNGe_B,R,N,C,C,M,2	966.873096	0.0	C_M_NG_E_0	1	good
8855	xNGe_B,R,N,C,C,M,3	966.4863467616001	0.0	C_M_NG_E_0	2	good
8856	xNGe_B,R,N,C,C,M,4	966.0997522228955	0.0	C_M_NG_E_0	3	good
8861	xNGe_B,R,N,C,I,M,1	77.42	0.0	I_M_NG_E_0	0	good
8862	xNGe_B,R,N,C,I,M,2	77.389032	0.0	I_M_NG_E_0	1	good
8863	xNGe_B,R,N,C,I,M,3	77.3580763872	0.0	I_M_NG_E_0	2	good
8864	xNGe_B,R,N,C,I,M,4	77.32713315664512	0.0	I_M_NG_E_0	3	good
8901	xNGe_B,R,N,R,W,S,1	59.78	0.0	W_S_NG_E_0	0	good
8902	xNGe_B,R,N,R,W,S,2	59.756088000000005	0.0	W_S_NG_E_0	1	good
8903	xNGe_B,R,N,R,W,S,3	59.732185564800005	0.0	W_S_NG_E_0	2	good
8904	xNGe_B,R,N,R,W,S,4	59.70829269057409	0.0	W_S_NG_E_0	3	good
8977	xNGe_B,R,O,R,D,L,1	243.04	0.0	D_L_NG_E_0	0	good
8978	xNGe_B,R,O,R,D,L,2	242.942784	0.0	D_L_NG_E_0	1	good
