description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	43
Prism version when problem solved	PRISM ALPHA 1.3.02
Date & time problem solved	2019/10/22 - 15:30:15
Time reading (minutes & seconds)	24.89s
Time solving (minutes & seconds)	17.07s
Time writing (minutes & seconds)	17.63s
Total variables	554650
Total constraints	521232
Objective value	4.8102342768E8
