description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	45
Time reading (minutes & seconds)	1m50.18s
Time solving (minutes & seconds)	0m12.1s
Time writing (minutes & seconds)	0m1.66s
Total variables	566029
Total constraints	532319
Objective value	4.8102342768E8
