description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Time reading (minutes & seconds)	1m29.67s
Time solving (minutes & seconds)	0m10.49s
Time writing (minutes & seconds)	0m1.31s
Total variables	472369
Total constraints	445300
Objective value	4.1966211764E8
