description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	55
Prism version when problem solved	PRISM ALPHA 1.2.01
Date & time problem solved	2018/06/18 - 01:41:12
Time reading (minutes & seconds)	2m56.21s
Time solving (minutes & seconds)	27.19s
Time writing (minutes & seconds)	20.0s
Total variables	777094
Total constraints	720874
Objective value	5952597.62
