description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Time reading (minutes & seconds)	4m12.38s
Time solving (minutes & seconds)	0m12.5s
Time writing (minutes & seconds)	0m0.99s
Total variables	566729
Total constraints	532981
Objective value	5.878023629E7
