query_id	query_description	query_type	query_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	query_value	
1	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
2	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
3	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
4	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
5	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
6	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
7	Area (i.e. acres) ..... No dynamic restriction ..... layer5 1 | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 1;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
8	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	941235.0	
9	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	149270.0	
10	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
11	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	4530.0	
12	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	102530.0	
13	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
14	Area (i.e. acres) ..... No dynamic restriction ..... layer5 A | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 A;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	257355.0	
15	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	19635.0	
16	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	244100.0	
17	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
18	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	16700.0	
19	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	122330.0	
20	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	0.0	
21	Area (i.e. acres) ..... No dynamic restriction ..... layer5 B | layer6 VERYLARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 B;5 VERYLARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	2265.0	
22	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 LARGE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 LARGE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	402497.0	
23	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 MEDIUM	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 MEDIUM;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	474791.0	
24	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 NONE	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 NONE;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	358276.0	
25	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 SEEDSAP	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 SEEDSAP;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	802231.0	
26	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 SMALL	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 SMALL;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	365671.0	
27	Area (i.e. acres) ..... No dynamic restriction ..... layer5 C | layer6 TRANS	FREE	1.0	null	null	null	null	NoParameter	0 C D M W;1 A B C;2 L N S;3 C D F H K L N S;4 C;5 TRANS;6 NG_E PB_E GS_E EA_E MS_E BS_E NG_R PB_R GS_R EA_R;7 1 2 3 4 5	NoIdentifier	NoIdentifier	358276.0	
