index	name	value	reduced_cost
0	y_0	500000.0	0.0
1	y_1	934261.05	0.0
2	y_2	500000.0	0.0
3	y_3	9.074143084E7	0.0
4	y_4	1.013790404E7	0.0
11	u_1	434261.05	0.0
15	z_0	100000.0	-1.0
16	z_1	1.013790404E7	0.0
18	x_B,R,N,L,D,M,1	103.79	0.0
21	x_B,R,N,L,D,M,4	3.21	0.0
22	x_B,R,N,L,D,L,0	59.17	0.0
26	x_B,R,N,L,D,L,4	1.83	0.0
27	x_B,R,N,L,W,P,0	102.82	0.0
31	x_B,R,N,L,W,P,4	3.18	0.0
33	x_B,R,N,L,W,M,1	909.86	0.0
36	x_B,R,N,L,W,M,4	28.14	0.0
38	x_B,R,N,L,W,L,1	1293.01	0.0
41	x_B,R,N,L,W,L,4	39.99	0.0
43	x_B,R,N,L,C,P,1	77.6	0.0
46	x_B,R,N,L,C,P,4	2.4	0.0
48	x_B,R,N,L,C,M,1	738.17	0.0
51	x_B,R,N,L,C,M,4	22.83	0.0
53	x_B,R,N,L,C,L,1	1523.87	0.0
56	x_B,R,N,L,C,L,4	47.13	0.0
57	x_B,R,N,L,I,M,0	108.64	0.0
61	x_B,R,N,L,I,M,4	3.36	0.0
62	x_B,R,N,L,I,L,0	109.61	0.0
66	x_B,R,N,L,I,L,4	3.39	0.0
67	x_B,R,N,L,A,M,0	189.15	0.0
71	x_B,R,N,L,A,M,4	5.85	0.0
72	x_B,R,N,L,A,L,0	300.7	0.0
76	x_B,R,N,L,A,L,4	9.3	0.0
77	x_B,R,N,L,L,M,0	63.65	0.0
81	x_B,R,N,L,L,M,4	3.35	0.0
82	x_B,R,N,L,N,N,0	779.0	0.0
87	x_B,R,N,H,W,P,0	125.13	0.0
91	x_B,R,N,H,W,P,4	3.87	0.0
92	x_B,R,N,H,W,M,0	396.73	0.0
96	x_B,R,N,H,W,M,4	12.27	0.0
98	x_B,R,N,H,W,L,1	684.82	0.0
101	x_B,R,N,H,W,L,4	21.18	0.0
102	x_B,R,N,H,C,P,0	56.26	0.0
106	x_B,R,N,H,C,P,4	1.74	0.0
108	x_B,R,N,H,C,M,1	493.73	0.0
111	x_B,R,N,H,C,M,4	15.27	0.0
112	x_B,R,N,H,C,L,0	988.43	0.0
116	x_B,R,N,H,C,L,4	30.57	0.0
118	x_B,R,N,H,A,M,1	55.29	0.0
121	x_B,R,N,H,A,M,4	1.71	0.0
123	x_B,R,N,H,L,M,1	112.1	0.0
126	x_B,R,N,H,L,M,4	5.9	0.0
130	x_B,R,N,C,P,P,3	53.35	0.0
131	x_B,R,N,C,P,P,4	1.65	0.0
134	x_B,R,N,C,P,M,2	428.74	0.0
136	x_B,R,N,C,P,M,4	13.26	0.0
139	x_B,R,N,C,P,L,2	811.89	0.0
141	x_B,R,N,C,P,L,4	25.11	0.0
142	x_B,R,N,C,D,P,0	54.32	0.0
146	x_B,R,N,C,D,P,4	1.68	0.0
148	x_B,R,N,C,D,M,1	365.69	0.0
151	x_B,R,N,C,D,M,4	11.31	0.0
152	x_B,R,N,C,D,L,0	525.74	0.0
156	x_B,R,N,C,D,L,4	16.26	0.0
157	x_B,R,N,C,W,S,0	158.11	0.0
161	x_B,R,N,C,W,S,4	4.89	0.0
164	x_B,R,N,C,W,P,2	252.2	0.0
166	x_B,R,N,C,W,P,4	7.8	0.0
167	x_B,R,N,C,W,M,0	1697.5	0.0
171	x_B,R,N,C,W,M,4	52.5	0.0
172	x_B,R,N,C,W,L,0	2983.72	0.0
176	x_B,R,N,C,W,L,4	92.28	0.0
177	x_B,R,N,C,C,S,0	100.88	0.0
181	x_B,R,N,C,C,S,4	3.12	0.0
182	x_B,R,N,C,C,P,0	188.18	0.0
186	x_B,R,N,C,C,P,4	5.82	0.0
187	x_B,R,N,C,C,M,0	957.39	0.0
191	x_B,R,N,C,C,M,4	29.61	0.0
193	x_B,R,N,C,C,L,1	4560.94	0.0
196	x_B,R,N,C,C,L,4	141.06	0.0
197	x_B,R,N,C,I,M,0	76.63	0.0
201	x_B,R,N,C,I,M,4	2.37	0.0
202	x_B,R,N,C,I,L,0	231.83	0.0
206	x_B,R,N,C,I,L,4	7.17	0.0
207	x_B,R,N,C,A,M,0	109.61	0.0
211	x_B,R,N,C,A,M,4	3.39	0.0
212	x_B,R,N,C,A,L,0	132.89	0.0
216	x_B,R,N,C,A,L,4	4.11	0.0
217	x_B,R,N,C,L,M,0	152.95	0.0
221	x_B,R,N,C,L,M,4	8.05	0.0
222	x_B,R,N,C,L,L,0	133.0	0.0
226	x_B,R,N,C,L,L,4	7.0	0.0
229	x_B,R,N,C,N,N,2	1412.0	0.0
234	x_B,R,N,R,P,M,2	131.92	0.0
236	x_B,R,N,R,P,M,4	4.08	0.0
240	x_B,R,N,R,P,L,3	65.96	0.0
241	x_B,R,N,R,P,L,4	2.04	0.0
243	x_B,R,N,R,D,M,1	116.4	0.0
246	x_B,R,N,R,D,M,4	3.6	0.0
248	x_B,R,N,R,D,L,1	304.58	0.0
251	x_B,R,N,R,D,L,4	9.42	0.0
253	x_B,R,N,R,W,S,1	59.17	0.0
256	x_B,R,N,R,W,S,4	1.83	0.0
258	x_B,R,N,R,W,P,1	124.16	0.0
261	x_B,R,N,R,W,P,4	3.84	0.0
262	x_B,R,N,R,W,M,0	587.82	0.0
266	x_B,R,N,R,W,M,4	18.18	0.0
268	x_B,R,N,R,W,L,1	1871.13	0.0
271	x_B,R,N,R,W,L,4	57.87	0.0
273	x_B,R,N,R,C,P,1	107.67	0.0
276	x_B,R,N,R,C,P,4	3.33	0.0
279	x_B,R,N,R,C,M,2	737.2	0.0
281	x_B,R,N,R,C,M,4	22.8	0.0
282	x_B,R,N,R,C,L,0	2309.57	0.0
286	x_B,R,N,R,C,L,4	71.43	0.0
288	x_B,R,N,R,A,L,1	76.63	0.0
291	x_B,R,N,R,A,L,4	2.37	0.0
293	x_B,R,N,R,L,L,1	53.2	0.0
296	x_B,R,N,R,L,L,4	2.8	0.0
298	x_B,R,N,R,N,N,1	1135.0	0.0
302	x_B,R,O,L,C,L,0	63.05	0.0
