flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;5.131548914170077E7;1.3790338573860377E8
2	EndingInv	17;18	HARD	100.0	null	1.0289514483438724E9;1.0289514483438724E9
3	wui per1 bud	334;339	FREE	41.0	null	3.065726E7;1.0728342502250003E7
4	wui per2 bud	335;340	FREE	41.0	null	3.065726E7;1.8223001783668038E7
5	wui per3bud	336;341	FREE	41.0	null	4.0657E7;1.942070597687486E7
6	wui per4 bud	337;342	FREE	41.0	null	4.0657E7;2.6830249774541758E7
7	wui per5 bud	338;343	FREE	41.0	null	4.0657E7;1.5548219167044517E7
8	Nonwui per1 bud	334;344	FREE	23.0	null	3.065726E7;1.9928917497750007E7
9	Nonwui per2 bud	335;345	FREE	23.0	null	3.065726E7;1.2434258216331972E7
10	Nonwui per3 bud	336;346	FREE	23.0	null	4.0657E7;2.0520459243800197E7
11	Nonwui per4 bud	337;347	FREE	23.0	null	4.0657E7;9423817.063375305
12	Nonwui per5 bud	338;348	FREE	23.0	null	4.0657E7;2.3065097022619806E7
