description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Prism version when problem solved	PRISM ALPHA 1.0.33
Date & time problem solved	2018/03/21 - 12:01:17
Time reading (minutes & seconds)	5m20.69s
Time solving (minutes & seconds)	17.57s
Time writing (minutes & seconds)	14.11s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
