description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Time reading (minutes & seconds)	10m2.86s
Time solving (minutes & seconds)	0m17.27s
Time writing (minutes & seconds)	0m4.57s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
