description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Prism version when problem solved	PRISM ALPHA 1.1.07
Date & time problem solved	2018/05/26 - 20:12:03
Time reading (minutes & seconds)	17.74s
Time solving (minutes & seconds)	11.23s
Time writing (minutes & seconds)	14.73s
Total variables	472369
Total constraints	441178
Objective value	4.332666064E8
