Index	Name	Value	Reduced Cost
980	xGS_C,N,O,H,A,L,4,4	410.75	0.0
981	xGS_C,N,O,H,A,L,4,5	409.92	0.0
1002	xGS_C,N,O,C,A,L,4,1	116.4	0.0
1003	xGS_C,N,O,C,A,L,4,2	116.17	0.0
1004	xGS_C,N,O,C,A,L,4,3	115.93	0.0
1005	xGS_C,N,O,C,A,L,4,4	115.7	0.0
1006	xGS_C,N,O,C,A,L,4,5	115.47	0.0
1027	xGS_C,N,O,R,A,L,4,1	325.92	0.0
1028	xGS_C,N,O,R,A,L,4,2	325.27	0.0
1029	xGS_C,N,O,R,A,L,4,3	324.62	0.0
1030	xGS_C,N,O,R,A,L,4,4	323.97	0.0
1031	xGS_C,N,O,R,A,L,4,5	323.32	0.0
1032	xMS_B,R,N,L,A,L,0,1	9.3	0.0
1033	xMS_B,R,N,L,A,L,0,2	9.3	0.0
1034	xMS_B,R,N,L,A,L,0,3	9.3	0.0
1035	xMS_B,R,N,L,A,L,0,4	9.3	0.0
1036	xMS_B,R,N,L,A,L,0,5	9.3	0.0
1057	xMS_B,R,N,C,A,L,0,1	4.11	0.0
1058	xMS_B,R,N,C,A,L,0,2	4.11	0.0
1059	xMS_B,R,N,C,A,L,0,3	4.11	0.0
1060	xMS_B,R,N,C,A,L,0,4	4.11	0.0
1061	xMS_B,R,N,C,A,L,0,5	4.11	0.0
1082	xMS_B,R,N,R,A,L,0,1	2.37	0.0
1083	xMS_B,R,N,R,A,L,0,2	2.37	0.0
1084	xMS_B,R,N,R,A,L,0,3	2.37	0.0
1085	xMS_B,R,N,R,A,L,0,4	2.37	0.0
1086	xMS_B,R,N,R,A,L,0,5	2.37	0.0
1107	xMS_B,R,P,L,A,L,0,1	2.55	0.0
1108	xMS_B,R,P,L,A,L,0,2	2.55	0.0
1109	xMS_B,R,P,L,A,L,0,3	2.55	0.0
1110	xMS_B,R,P,L,A,L,0,4	2.55	0.0
1111	xMS_B,R,P,L,A,L,0,5	2.55	0.0
1132	xMS_B,R,P,C,A,L,0,1	2.58	0.0
1133	xMS_B,R,P,C,A,L,0,2	2.58	0.0
1134	xMS_B,R,P,C,A,L,0,3	2.58	0.0
1135	xMS_B,R,P,C,A,L,0,4	2.58	0.0
1136	xMS_B,R,P,C,A,L,0,5	2.58	0.0
1157	xMS_B,R,P,R,A,L,0,1	1.56	0.0
1158	xMS_B,R,P,R,A,L,0,2	1.56	0.0
1159	xMS_B,R,P,R,A,L,0,3	1.56	0.0
1160	xMS_B,R,P,R,A,L,0,4	1.56	0.0
1161	xMS_B,R,P,R,A,L,0,5	1.56	0.0
1182	xMS_B,N,N,L,A,L,0,1	11.34	0.0
1183	xMS_B,N,N,L,A,L,0,2	11.34	0.0
1184	xMS_B,N,N,L,A,L,0,3	11.34	0.0
1185	xMS_B,N,N,L,A,L,0,4	11.34	0.0
1186	xMS_B,N,N,L,A,L,0,5	11.34	0.0
1207	xMS_B,N,N,C,A,L,0,1	10.05	0.0
1208	xMS_B,N,N,C,A,L,0,2	10.05	0.0
1209	xMS_B,N,N,C,A,L,0,3	10.05	0.0
1210	xMS_B,N,N,C,A,L,0,4	10.05	0.0
1211	xMS_B,N,N,C,A,L,0,5	10.05	0.0
1232	xMS_B,N,P,R,A,L,0,1	3.54	0.0
1233	xMS_B,N,P,R,A,L,0,2	3.54	0.0
1234	xMS_B,N,P,R,A,L,0,3	3.54	0.0
1235	xMS_B,N,P,R,A,L,0,4	3.54	0.0
1236	xMS_B,N,P,R,A,L,0,5	3.54	0.0
1257	xMS_C,N,N,L,A,L,0,1	999.69	0.0
1258	xMS_C,N,N,L,A,L,0,2	999.69	0.0
1259	xMS_C,N,N,L,A,L,0,3	999.69	0.0
1260	xMS_C,N,N,L,A,L,0,4	999.69	0.0
1261	xMS_C,N,N,L,A,L,0,5	999.69	0.0
1282	xMS_C,N,N,H,A,L,0,1	29.91	0.0
1283	xMS_C,N,N,H,A,L,0,2	29.91	0.0
1284	xMS_C,N,N,H,A,L,0,3	29.91	0.0
1285	xMS_C,N,N,H,A,L,0,4	29.91	0.0
1286	xMS_C,N,N,H,A,L,0,5	29.91	0.0
1307	xMS_C,N,N,C,A,L,0,1	390.84	0.0
1308	xMS_C,N,N,C,A,L,0,2	390.84	0.0
1309	xMS_C,N,N,C,A,L,0,3	390.84	0.0
1310	xMS_C,N,N,C,A,L,0,4	390.84	0.0
1311	xMS_C,N,N,C,A,L,0,5	390.84	0.0
1332	xMS_C,N,N,R,A,L,0,1	37.11	0.0
1333	xMS_C,N,N,R,A,L,0,2	37.11	0.0
1334	xMS_C,N,N,R,A,L,0,3	37.11	0.0
