cons_id	cons_slack	cons_dual
57034	-2.220446049250313E-16	0.0
57419	3.469446951953614E-18	0.0
57611	-6.938893903907228E-18	0.0
57618	3.469446951953614E-18	0.0
58003	-1.3877787807814457E-17	0.0
58955	5.551115123125783E-17	0.0
59146	-5.551115123125783E-17	0.0
59722	-5.551115123125783E-17	0.0
59915	-6.938893903907228E-18	0.0
60491	1.3877787807814457E-17	0.0
60683	2.7755575615628914E-17	0.0
60691	-1.3877787807814457E-17	0.0
61259	-1.1102230246251565E-16	0.0
61451	2.220446049250313E-16	0.0
61459	-1.1102230246251565E-16	0.0
61835	-2.220446049250313E-16	0.0
61843	-1.1102230246251565E-16	0.0
63955	-6.776263578034403E-21	0.0
64339	-1.3877787807814457E-17	0.0
66827	1.7763568394002505E-15	0.0
67027	-3.3881317890172014E-21	0.0
67211	-4.440892098500626E-16	0.0
67219	-2.220446049250313E-16	0.0
67595	-5.551115123125783E-17	0.0
68171	-4.440892098500626E-16	0.0
68179	-2.220446049250313E-16	0.0
68371	-2.7755575615628914E-17	0.0
68939	-2.220446049250313E-16	0.0
69131	-5.551115123125783E-17	0.0
69707	8.881784197001252E-16	0.0
69899	-2.220446049250313E-16	0.0
70283	-2.7755575615628914E-17	0.0
70291	-1.3877787807814457E-17	0.0
70475	4.440892098500626E-16	0.0
71251	-5.551115123125783E-17	0.0
71435	5.551115123125783E-17	0.0
71443	-2.7755575615628914E-17	0.0
71627	6.938893903907228E-18	0.0
71819	2.7755575615628914E-17	0.0
71827	-1.3877787807814457E-17	0.0
72011	8.881784197001252E-16	0.0
72211	-2.7755575615628914E-17	0.0
72587	-1.1102230246251565E-16	0.0
72595	-5.551115123125783E-17	0.0
72779	-6.938893903907228E-18	0.0
73739	1.3877787807814457E-17	0.0
74315	-1.3877787807814457E-17	0.0
75083	2.220446049250313E-16	0.0
78923	1.3877787807814457E-17	0.0
78931	-6.938893903907228E-18	0.0
