description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	44
Prism version when problem solved	PRISM ALPHA 1.2.02
Date & time problem solved	2018/07/04 - 10:12:35
Time reading (minutes & seconds)	2m58.54s
Time solving (minutes & seconds)	28.44s
Time writing (minutes & seconds)	21.29s
Total variables	831348
Total constraints	770064
Objective value	5183421.97
