description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	60
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 10:43:18
Time reading (minutes & seconds)	2m56.28s
Time solving (minutes & seconds)	14.96s
Time writing (minutes & seconds)	13.11s
Total variables	541834
Total constraints	501212
Objective value	4.618846035E7
