description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	67
Prism version when problem solved	PRISM ALPHA 1.3.02
Date & time problem solved	2019/10/22 - 16:02:37
Time reading (minutes & seconds)	4m10.76s
Time solving (minutes & seconds)	4m52.94s
Time writing (minutes & seconds)	28.05s
Total variables	1612503
Total constraints	1453815
Objective value	1.946159543E7
