description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Time reading (minutes & seconds)	2m11.01s
Time solving (minutes & seconds)	0m15.43s
Time writing (minutes & seconds)	0m1.45s
Total variables	541409
Total constraints	508056
Objective value	4.0216240433E8
