description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	87
Prism version when problem solved	PRISM ALPHA 1.0.33
Date & time problem solved	2018/03/20 - 20:36:00
Time reading (minutes & seconds)	19m49.58s
Time solving (minutes & seconds)	4m9.84s
Time writing (minutes & seconds)	18.88s
Total variables	1709169
Total constraints	1544176
Objective value	1.782069818E7
