description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Prism version when problem solved	PRISM ALPHA 1.1.03
Date & time problem solved	2018/04/19 - 13:20:44
Time reading (minutes & seconds)	5m16.0s
Time solving (minutes & seconds)	19.2s
Time writing (minutes & seconds)	23.1s
Total variables	472369
Total constraints	441178
Objective value	4.332666064E8
