description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Date & time problem solved	2017/11/13 - 19:20:34
Time reading (minutes & seconds)	9m39.01s
Time solving (minutes & seconds)	15.15s
Time writing (minutes & seconds)	5.45s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
