condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
41	layer5 D | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 D;5 P	19.7	4.5	true	
42	layer5 D | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 D;5 Q	26.3	4.5	true	
43	layer5 D | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 D;5 R	19.7	4.5	true	
44	layer5 D | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 D;5 S	13.2	4.5	true	
45	layer5 D | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 D;5 Z	0.0	null	true	
46	layer5 E | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 F	13.2	null	true	
47	layer5 E | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 G	6.6	null	true	
48	layer5 E | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 H	19.7	null	true	
49	layer5 E | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 I	26.3	null	true	
50	layer5 E | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 J	13.2	null	true	
51	layer5 E | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 K	6.6	null	true	
52	layer5 E | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 L	19.7	20.0	true	
53	layer5 E | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 M	46.2	20.0	true	
54	layer5 E | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 N	26.3	20.0	true	
55	layer5 E | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 O	26.3	20.0	true	
56	layer5 E | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 P	19.7	20.0	true	
57	layer5 E | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 Q	19.7	20.0	true	
58	layer5 E | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 R	19.7	20.0	true	
59	layer5 E | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 S	19.7	20.0	true	
60	layer5 E | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 E;5 Z	0.0	null	true	
61	layer5 F | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 F	6.6	null	true	
62	layer5 F | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 G	6.6	null	true	
63	layer5 F | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 H	13.2	null	true	
64	layer5 F | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 I	13.2	null	true	
65	layer5 F | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 J	6.6	null	true	
66	layer5 F | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 K	6.6	null	true	
67	layer5 F | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 F;5 L	13.2	4.5	true	
