description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 11:03:26
Time reading (minutes & seconds)	4m57.34s
Time solving (minutes & seconds)	15.37s
Time writing (minutes & seconds)	11.94s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
