description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	60
Time reading (minutes & seconds)	3m57.43s
Time solving (minutes & seconds)	0m18.21s
Time writing (minutes & seconds)	0m3.68s
Total variables	541834
Total constraints	501212
Objective value	4.618846035E7
