flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	
1		63;48	HARD	null	0.05	
2	null	64;49	HARD	null	0.05	
3	null	65;50	HARD	null	0.05	
4	null	66;51	HARD	null	0.05	
5	null	67;52	HARD	null	0.05	
6	null	68;53	HARD	null	0.05	
7	null	69;54	HARD	null	0.05	
8	null	70;55	HARD	null	0.05	
9	null	71;56	HARD	null	0.05	
10	null	72;57	HARD	null	0.05	
