description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	60
Time reading (minutes & seconds)	10m50.31s
Time solving (minutes & seconds)	0m15.9s
Time writing (minutes & seconds)	0m0.89s
Total variables	541834
Total constraints	501212
Objective value	4.618846035E7
