description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Prism version when problem solved	PRISM ALPHA 1.0.32
Date & time problem solved	2018/03/14 - 07:35:24
Time reading (minutes & seconds)	5m18.83s
Time solving (minutes & seconds)	8.86s
Time writing (minutes & seconds)	15.33s
Total variables	566729
Total constraints	532981
Objective value	5.878023629E7
