Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
BNNCAL	B	N	N	C	A	L	335	null	EA GS PB NG 	
BNNCAM	B	N	N	C	A	M	63	null	EA GS PB NG 	
BNNCAP	B	N	N	C	A	P	64	null	EA GS PB NG 	
BNNCCL	B	N	N	C	C	L	4121	null	EA GS PB NG 	
BNNCCM	B	N	N	C	C	M	1353	null	EA GS PB NG 	
BNNCCP	B	N	N	C	C	P	651	null	EA GS PB NG 	
BNNCCS	B	N	N	C	C	S	97	null	EA GS PB NG 	
BNNCDL	B	N	N	C	D	L	1725	null	EA GS PB NG 	
BNNCDM	B	N	N	C	D	M	540	null	EA GS PB NG 	
BNNCDP	B	N	N	C	D	P	77	null	EA GS PB NG 	
BNNCDS	B	N	N	C	D	S	84	null	EA GS PB NG 	
BNNCIL	B	N	N	C	I	L	247	null	EA GS PB NG 	
BNNCIM	B	N	N	C	I	M	61	null	EA GS PB NG 	
BNNCLL	B	N	N	C	L	L	181	null	EA GS PB NG 	
BNNCLM	B	N	N	C	L	M	92	null	EA GS PB NG 	
BNNCNN	B	N	N	C	NS	N	1279	null	EA GS PB NG 	
BNNCPL	B	N	N	C	P	L	1268	null	EA GS PB NG 	
BNNCPM	B	N	N	C	P	M	909	null	EA GS PB NG 	
BNNCPP	B	N	N	C	P	P	142	null	EA GS PB NG 	
BNNCWL	B	N	N	C	W	L	4299	null	EA GS PB NG 	
BNNCWM	B	N	N	C	W	M	1664	null	EA GS PB NG 	
BNNCWP	B	N	N	C	W	P	310	null	EA GS PB NG 	
BNNCWS	B	N	N	C	W	S	107	null	EA GS PB NG 	
BNNHCL	B	N	N	H	C	L	71	null	EA GS PB NG 	
BNNLAL	B	N	N	L	A	L	378	null	EA GS PB NG 	
BNNLAM	B	N	N	L	A	M	157	null	EA GS PB NG 	
BNNLAS	B	N	N	L	A	S	86	null	EA GS PB NG 	
BNNLCL	B	N	N	L	C	L	1396	null	EA GS PB NG 	
BNNLCM	B	N	N	L	C	M	396	null	EA GS PB NG 	
BNNLCS	B	N	N	L	C	S	100	null	EA GS PB NG 	
BNNLDL	B	N	N	L	D	L	58	null	EA GS PB NG 	
BNNLIL	B	N	N	L	I	L	242	null	EA GS PB NG 	
BNNLIM	B	N	N	L	I	M	217	null	EA GS PB NG 	
BNNLIS	B	N	N	L	I	S	140	null	EA GS PB NG 	
BNNLLM	B	N	N	L	L	M	75	null	EA GS PB NG 	
BNNLNN	B	N	N	L	NS	N	701	null	EA GS PB NG 	
BNNLPL	B	N	N	L	P	L	92	null	EA GS PB NG 	
BNNLWL	B	N	N	L	W	L	1144	null	EA GS PB NG 	
BNNLWM	B	N	N	L	W	M	337	null	EA GS PB NG 	
BNNLWP	B	N	N	L	W	P	64	null	EA GS PB NG 	
BNNLWS	B	N	N	L	W	S	75	null	EA GS PB NG 	
BNNRCL	B	N	N	R	C	L	1707	null	EA GS PB NG 	
BNNRCM	B	N	N	R	C	M	355	null	EA GS PB NG 	
BNNRDL	B	N	N	R	D	L	77	null	EA GS PB NG 	
BNNRNN	B	N	N	R	NS	N	546	null	EA GS PB NG 	
BNNRPL	B	N	N	R	P	L	116	null	EA GS PB NG 	
BNNRWL	B	N	N	R	W	L	943	null	EA GS PB NG 	
BNNRWM	B	N	N	R	W	M	291	null	EA GS PB NG 	
BNNRWP	B	N	N	R	W	P	68	null	EA GS PB NG 	
BNOHCL	B	N	O	H	C	L	675	null	EA GS PB NG 	
BNOHCM	B	N	O	H	C	M	133	null	EA GS PB NG 	
BNOHWL	B	N	O	H	W	L	287	null	EA GS PB NG 	
BNORCL	B	N	O	R	C	L	2401	null	EA GS PB NG 	
BNORCM	B	N	O	R	C	M	385	null	EA GS PB NG 	
BNORDL	B	N	O	R	D	L	171	null	EA GS PB NG 	
BNORDM	B	N	O	R	D	M	90	null	EA GS PB NG 	
BNORNN	B	N	O	R	NS	N	177	null	EA GS PB NG 	
BNORPL	B	N	O	R	P	L	127	null	EA GS PB NG 	
BNORWL	B	N	O	R	W	L	1338	null	EA GS PB NG 	
BNORWM	B	N	O	R	W	M	162	null	EA GS PB NG 	
BNORWP	B	N	O	R	W	P	70	null	EA GS PB NG 	
BNPCCL	B	N	P	C	C	L	78	null	EA GS PB NG 	
BNPHCL	B	N	P	H	C	L	478	null	EA GS PB NG 	
BNPHCM	B	N	P	H	C	M	135	null	EA GS PB NG 	
BNPHCP	B	N	P	H	C	P	56	null	EA GS PB NG 	
BNPHNN	B	N	P	H	NS	N	142	null	EA GS PB NG 	
BNPHWL	B	N	P	H	W	L	245	null	EA GS PB NG 	
BNPHWM	B	N	P	H	W	M	90	null	EA GS PB NG 	
BNPRAL	B	N	P	R	A	L	118	null	EA GS PB NG 	
BNPRCL	B	N	P	R	C	L	1246	null	EA GS PB NG 	
BNPRCM	B	N	P	R	C	M	323	null	EA GS PB NG 	
BNPRCP	B	N	P	R	C	P	72	null	EA GS PB NG 	
BNPRDL	B	N	P	R	D	L	65	null	EA GS PB NG 	
BNPRNN	B	N	P	R	NS	N	55	null	EA GS PB NG 	
BNPRPL	B	N	P	R	P	L	77	null	EA GS PB NG 	
BNPRWL	B	N	P	R	W	L	742	null	EA GS PB NG 	
BNPRWM	B	N	P	R	W	M	220	null	EA GS PB NG 	
BNPRWP	B	N	P	R	W	P	62	null	EA GS PB NG 	
BNSHCL	B	N	S	H	C	L	1617	null	EA GS PB NG 	
BNSHCM	B	N	S	H	C	M	293	null	EA GS PB NG 	
BNSHCP	B	N	S	H	C	P	65	null	EA GS PB NG 	
BNSHCS	B	N	S	H	C	S	109	null	EA GS PB NG 	
BNSHIL	B	N	S	H	I	L	57	null	EA GS PB NG 	
BNSHLL	B	N	S	H	L	L	104	null	EA GS PB NG 	
BNSHNN	B	N	S	H	NS	N	67	null	EA GS PB NG 	
BNSHWL	B	N	S	H	W	L	974	null	EA GS PB NG 	
BNSHWM	B	N	S	H	W	M	206	null	EA GS PB NG 	
BNSHWP	B	N	S	H	W	P	113	null	EA GS PB NG 	
BNSHWS	B	N	S	H	W	S	215	null	EA GS PB NG 	
BNSRCL	B	N	S	R	C	L	8882	null	EA GS PB NG 	
BNSRCM	B	N	S	R	C	M	1847	null	EA GS PB NG 	
BNSRCP	B	N	S	R	C	P	453	null	EA GS PB NG 	
BNSRCS	B	N	S	R	C	S	183	null	EA GS PB NG 	
BNSRDL	B	N	S	R	D	L	495	null	EA GS PB NG 	
BNSRDM	B	N	S	R	D	M	211	null	EA GS PB NG 	
BNSRDP	B	N	S	R	D	P	80	null	EA GS PB NG 	
BNSRDS	B	N	S	R	D	S	66	null	EA GS PB NG 	
BNSRLL	B	N	S	R	L	L	88	null	EA GS PB NG 	
BNSRNN	B	N	S	R	NS	N	811	null	EA GS PB NG 	
BNSRPL	B	N	S	R	P	L	645	null	EA GS PB NG 	
BNSRPP	B	N	S	R	P	P	56	null	EA GS PB NG 	
