strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRORWL	B	R	O	R	W	L	1211.574	0.0	0.0	0.0	25.36	31.066000000000003
BRORCS	B	R	O	R	C	S	52.49	0.0	0.0	0.0	2.9000000000000004	2.61
BRORCP	B	R	O	R	C	P	63.35	0.0	0.0	0.0	3.5	3.15
BRORCM	B	R	O	R	C	M	325.8	0.0	0.0	0.0	18.0	16.2
BRORCL	B	R	O	R	C	L	1457.9550000000002	0.0	0.0	0.0	80.55000000000001	72.49499999999999
BRPLWS	B	R	P	L	W	S	132.8145	0.0	0.0	0.0	2.7800000000000002	3.4055
BRPLWP	B	R	P	L	W	P	81.2175	0.0	0.0	0.0	1.7	2.0825
BRPLWM	B	R	P	L	W	M	64.974	0.0	0.0	0.0	1.36	1.6660000000000001
BRPLWL	B	R	P	L	W	L	405.132	0.0	0.0	0.0	8.48	10.388
BRPLCS	B	R	P	L	C	S	140.275	0.0	0.0	0.0	7.75	6.975
BRPLCP	B	R	P	L	C	P	47.965	0.0	0.0	0.0	2.6500000000000004	2.385
BRPLCM	B	R	P	L	C	M	76.925	0.0	0.0	0.0	4.25	3.8249999999999997
BRPLCL	B	R	P	L	C	L	426.255	0.0	0.0	0.0	23.55	21.195
BRPLIL	B	R	P	L	I	L	65.16000000000001	0.0	0.0	0.0	3.6	3.2399999999999998
BRPLAM	B	R	P	L	A	M	69.685	0.0	0.0	0.0	3.85	3.465
BRPLAL	B	R	P	L	A	L	76.925	0.0	0.0	0.0	4.25	3.8249999999999997
BRPHWP	B	R	P	H	W	P	72.61800000000001	0.0	0.0	0.0	1.52	1.862
BRPHWM	B	R	P	H	W	M	193.9665	0.0	0.0	0.0	4.0600000000000005	4.9735000000000005
BRPHWL	B	R	P	H	W	L	309.582	0.0	0.0	0.0	6.48	7.938000000000001
BRPHCM	B	R	P	H	C	M	301.365	0.0	0.0	0.0	16.650000000000002	14.985
BRPHCL	B	R	P	H	C	L	582.8199999999999	0.0	0.0	0.0	32.2	28.98
BRPHLL	B	R	P	H	L	L	71.495	0.0	0.0	0.0	3.95	3.5549999999999997
BRPCPS	B	R	P	C	P	S	47.965	0.0	0.0	0.0	2.6500000000000004	2.385
BRPCPL	B	R	P	C	P	L	279.9615	0.0	0.0	0.0	5.86	7.1785000000000005
BRPCDS	B	R	P	C	D	S	64.0185	0.0	0.0	0.0	1.34	1.6415
BRPCDL	B	R	P	C	D	L	207.3435	0.0	0.0	0.0	4.34	5.3165000000000004
BRPCWS	B	R	P	C	W	S	443.35200000000003	0.0	0.0	0.0	9.28	11.368
BRPCWP	B	R	P	C	W	P	264.6735	0.0	0.0	0.0	5.54	6.7865
BRPCWM	B	R	P	C	W	M	152.88000000000002	0.0	0.0	0.0	3.2	3.92
BRPCWL	B	R	P	C	W	L	1115.0685	0.0	0.0	0.0	23.34	28.5915
BRPCCS	B	R	P	C	C	S	354.76	0.0	0.0	0.0	19.6	17.64
BRPCCP	B	R	P	C	C	P	57.919999999999995	0.0	0.0	0.0	3.2	2.88
BRPCCM	B	R	P	C	C	M	198.19500000000002	0.0	0.0	0.0	10.950000000000001	9.855
