period1_covertype	period1_sizeclass	mixedfire_percentage	
P	S	4.0	
P	P	4.0	
P	M	4.0	
P	L	4.0	
P	N	4.0	
D	S	4.0	
D	P	4.0	
D	M	4.0	
D	L	4.0	
D	N	4.0	
W	S	4.0	
W	P	4.0	
W	M	4.0	
W	L	4.0	
W	N	4.0	
C	S	4.0	
C	P	4.0	
C	M	4.0	
C	L	4.0	
C	N	4.0	
I	S	4.0	
I	P	4.0	
I	M	4.0	
I	L	4.0	
I	N	4.0	
A	S	4.0	
A	P	4.0	
A	M	4.0	
A	L	4.0	
A	N	4.0	
L	S	4.0	
L	P	4.0	
L	M	4.0	
L	L	4.0	
L	N	4.0	
N	S	4.0	
N	P	4.0	
N	M	4.0	
N	L	4.0	
N	N	4.0	
