Index	Name	Value	Reduced Cost
0	x_B,R,N,L,D,M,0	101.65	0.0
4	x_B,R,N,L,D,M,4	5.35	0.0
5	x_B,R,N,L,D,L,0	57.95	0.0
9	x_B,R,N,L,D,L,4	3.05	0.0
10	x_B,R,N,L,W,P,0	100.7	0.0
14	x_B,R,N,L,W,P,4	5.3	0.0
15	x_B,R,N,L,W,M,0	891.1	0.0
19	x_B,R,N,L,W,M,4	46.9	0.0
20	x_B,R,N,L,W,L,0	1266.35	0.0
24	x_B,R,N,L,W,L,4	66.65	0.0
25	x_B,R,N,L,C,P,0	76.0	0.0
29	x_B,R,N,L,C,P,4	4.0	0.0
30	x_B,R,N,L,C,M,0	722.95	0.0
34	x_B,R,N,L,C,M,4	38.05	0.0
35	x_B,R,N,L,C,L,0	1492.45	0.0
39	x_B,R,N,L,C,L,4	78.55	0.0
40	x_B,R,N,L,I,M,0	106.4	0.0
44	x_B,R,N,L,I,M,4	5.6	0.0
45	x_B,R,N,L,I,L,0	107.35	0.0
49	x_B,R,N,L,I,L,4	5.65	0.0
50	x_B,R,N,L,A,M,0	185.25	0.0
54	x_B,R,N,L,A,M,4	9.75	0.0
55	x_B,R,N,L,A,L,0	294.5	0.0
59	x_B,R,N,L,A,L,4	15.5	0.0
60	x_B,R,N,L,L,M,0	63.65	0.0
64	x_B,R,N,L,L,M,4	3.35	0.0
65	x_B,R,N,L,N,N,0	779.0	0.0
70	x_B,R,N,H,W,P,0	122.55	0.0
74	x_B,R,N,H,W,P,4	6.45	0.0
75	x_B,R,N,H,W,M,0	388.55	0.0
79	x_B,R,N,H,W,M,4	20.45	0.0
80	x_B,R,N,H,W,L,0	670.7	0.0
84	x_B,R,N,H,W,L,4	35.3	0.0
85	x_B,R,N,H,C,P,0	55.1	0.0
89	x_B,R,N,H,C,P,4	2.9	0.0
90	x_B,R,N,H,C,M,0	483.55	0.0
94	x_B,R,N,H,C,M,4	25.45	0.0
95	x_B,R,N,H,C,L,0	968.05	0.0
99	x_B,R,N,H,C,L,4	50.95	0.0
100	x_B,R,N,H,A,M,0	54.15	0.0
104	x_B,R,N,H,A,M,4	2.85	0.0
105	x_B,R,N,H,L,M,0	112.1	0.0
109	x_B,R,N,H,L,M,4	5.9	0.0
110	x_B,R,N,C,P,P,0	52.25	0.0
114	x_B,R,N,C,P,P,4	2.75	0.0
115	x_B,R,N,C,P,M,0	419.9	0.0
119	x_B,R,N,C,P,M,4	22.1	0.0
120	x_B,R,N,C,P,L,0	795.15	0.0
124	x_B,R,N,C,P,L,4	41.85	0.0
125	x_B,R,N,C,D,P,0	53.2	0.0
129	x_B,R,N,C,D,P,4	2.8	0.0
130	x_B,R,N,C,D,M,0	358.15	0.0
134	x_B,R,N,C,D,M,4	18.85	0.0
135	x_B,R,N,C,D,L,0	514.9	0.0
139	x_B,R,N,C,D,L,4	27.1	0.0
140	x_B,R,N,C,W,S,0	154.85	0.0
144	x_B,R,N,C,W,S,4	8.15	0.0
145	x_B,R,N,C,W,P,0	247.0	0.0
149	x_B,R,N,C,W,P,4	13.0	0.0
150	x_B,R,N,C,W,M,0	1662.5	0.0
154	x_B,R,N,C,W,M,4	87.5	0.0
155	x_B,R,N,C,W,L,0	2922.2	0.0
159	x_B,R,N,C,W,L,4	153.8	0.0
160	x_B,R,N,C,C,S,0	98.8	0.0
164	x_B,R,N,C,C,S,4	5.2	0.0
165	x_B,R,N,C,C,P,0	184.3	0.0
169	x_B,R,N,C,C,P,4	9.7	0.0
170	x_B,R,N,C,C,M,0	937.65	0.0
174	x_B,R,N,C,C,M,4	49.35	0.0
175	x_B,R,N,C,C,L,0	4466.9	0.0
179	x_B,R,N,C,C,L,4	235.1	0.0
180	x_B,R,N,C,I,M,0	75.05	0.0
184	x_B,R,N,C,I,M,4	3.95	0.0
185	x_B,R,N,C,I,L,0	227.05	0.0
189	x_B,R,N,C,I,L,4	11.95	0.0
190	x_B,R,N,C,A,M,0	107.35	0.0
194	x_B,R,N,C,A,M,4	5.65	0.0
195	x_B,R,N,C,A,L,0	130.15	0.0
199	x_B,R,N,C,A,L,4	6.85	0.0
200	x_B,R,N,C,L,M,0	152.95	0.0
204	x_B,R,N,C,L,M,4	8.05	0.0
205	x_B,R,N,C,L,L,0	133.0	0.0
209	x_B,R,N,C,L,L,4	7.0	0.0
210	x_B,R,N,C,N,N,0	1412.0	0.0
215	x_B,R,N,R,P,M,0	129.2	0.0
219	x_B,R,N,R,P,M,4	6.8	0.0
220	x_B,R,N,R,P,L,0	64.6	0.0
224	x_B,R,N,R,P,L,4	3.4	0.0
225	x_B,R,N,R,D,M,0	114.0	0.0
229	x_B,R,N,R,D,M,4	6.0	0.0
230	x_B,R,N,R,D,L,0	298.3	0.0
234	x_B,R,N,R,D,L,4	15.7	0.0
235	x_B,R,N,R,W,S,0	57.95	0.0
239	x_B,R,N,R,W,S,4	3.05	0.0
240	x_B,R,N,R,W,P,0	121.6	0.0
244	x_B,R,N,R,W,P,4	6.4	0.0
245	x_B,R,N,R,W,M,0	575.7	0.0
249	x_B,R,N,R,W,M,4	30.3	0.0
250	x_B,R,N,R,W,L,0	1832.55	0.0
254	x_B,R,N,R,W,L,4	96.45	0.0
255	x_B,R,N,R,C,P,0	105.45	0.0
259	x_B,R,N,R,C,P,4	5.55	0.0
260	x_B,R,N,R,C,M,0	722.0	0.0
264	x_B,R,N,R,C,M,4	38.0	0.0
265	x_B,R,N,R,C,L,0	2261.95	0.0
269	x_B,R,N,R,C,L,4	119.05	0.0
270	x_B,R,N,R,A,L,0	75.05	0.0
274	x_B,R,N,R,A,L,4	3.95	0.0
275	x_B,R,N,R,L,L,0	53.2	0.0
279	x_B,R,N,R,L,L,4	2.8	0.0
280	x_B,R,N,R,N,N,0	1135.0	0.0
285	x_B,R,O,L,C,L,0	61.75	0.0
289	x_B,R,O,L,C,L,4	3.25	0.0
