strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRORCP	B	R	O	R	C	P	0.0	0.0	0.0	65.8	2.8000000000000003	1.4000000000000001
BRORCM	B	R	O	R	C	M	338.40000000000003	0.0	0.0	0.0	14.4	7.2
BRORCL	B	R	O	R	C	L	0.0	1514.34	0.0	0.0	64.44	32.22
BRPLWS	B	R	P	L	W	S	0.0	0.0	0.0	130.66	5.5600000000000005	2.7800000000000002
BRPLWP	B	R	P	L	W	P	0.0	0.0	0.0	79.89999999999999	3.4	1.7
BRPLWM	B	R	P	L	W	M	63.92	0.0	0.0	0.0	2.72	1.36
BRPLWL	B	R	P	L	W	L	398.56	0.0	0.0	0.0	16.96	8.48
BRPLCS	B	R	P	L	C	S	0.0	0.0	0.0	145.70000000000002	6.2	3.1
BRPLCP	B	R	P	L	C	P	0.0	0.0	0.0	49.82	2.12	1.06
BRPLCM	B	R	P	L	C	M	79.89999999999999	0.0	0.0	0.0	3.4	1.7
BRPLCL	B	R	P	L	C	L	442.74	0.0	0.0	0.0	18.84	9.42
BRPLIL	B	R	P	L	I	L	67.68	0.0	0.0	0.0	2.88	1.44
BRPLAM	B	R	P	L	A	M	72.38	0.0	0.0	0.0	3.08	1.54
BRPLAL	B	R	P	L	A	L	79.89999999999999	0.0	0.0	0.0	3.4	1.7
BRPHWP	B	R	P	H	W	P	0.0	0.0	0.0	71.44	3.04	1.52
BRPHWM	B	R	P	H	W	M	190.82	0.0	0.0	0.0	8.120000000000001	4.0600000000000005
BRPHWL	B	R	P	H	W	L	0.0	0.0	304.56	0.0	12.96	6.48
BRPHCM	B	R	P	H	C	M	313.02	0.0	0.0	0.0	13.32	6.66
BRPHCL	B	R	P	H	C	L	605.36	0.0	0.0	0.0	25.76	12.88
BRPHLL	B	R	P	H	L	L	74.26	0.0	0.0	0.0	3.16	1.58
BRPCPS	B	R	P	C	P	S	0.0	0.0	0.0	49.82	2.12	1.06
BRPCPL	B	R	P	C	P	L	275.41999999999996	0.0	0.0	0.0	11.72	5.86
BRPCDS	B	R	P	C	D	S	0.0	0.0	0.0	62.97999999999999	2.68	1.34
BRPCDL	B	R	P	C	D	L	203.98	0.0	0.0	0.0	8.68	4.34
BRPCWS	B	R	P	C	W	S	0.0	0.0	0.0	436.16	18.56	9.28
BRPCWP	B	R	P	C	W	P	0.0	0.0	0.0	260.38	11.08	5.54
BRPCWM	B	R	P	C	W	M	150.4	0.0	0.0	0.0	6.4	3.2
BRPCWL	B	R	P	C	W	L	0.0	1096.98	0.0	0.0	46.68	23.34
BRPCCS	B	R	P	C	C	S	0.0	368.48	0.0	0.0	15.68	7.84
BRPCCP	B	R	P	C	C	P	0.0	0.0	0.0	60.16	2.56	1.28
BRPCCM	B	R	P	C	C	M	205.86	0.0	0.0	0.0	8.76	4.38
BRPCCL	B	R	P	C	C	L	0.0	992.64	0.0	0.0	42.24	21.12
BRPCIS	B	R	P	C	I	S	0.0	0.0	0.0	57.34	2.44	1.22
BRPCIL	B	R	P	C	I	L	156.98	0.0	0.0	0.0	6.68	3.34
BRPCAS	B	R	P	C	A	S	0.0	0.0	0.0	72.38	3.08	1.54
BRPCAL	B	R	P	C	A	L	80.84	0.0	0.0	0.0	3.44	1.72
BRPRPS	B	R	P	R	P	S	0.0	0.0	0.0	53.58	2.2800000000000002	1.1400000000000001
BRPRPM	B	R	P	R	P	M	152.28	0.0	0.0	0.0	6.48	3.24
BRPRPL	B	R	P	R	P	L	452.14	0.0	0.0	0.0	19.240000000000002	9.620000000000001
