description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Date & time problem solved	2017/11/02 - 23:53:59
Time reading (minutes & seconds)	7m15.15s
Time solving (minutes & seconds)	16.16s
Time writing (minutes & seconds)	2.47s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
