description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	49
Time reading (minutes & seconds)	11m39.62s
Time solving (minutes & seconds)	0m36.08s
Time writing (minutes & seconds)	0m20.84s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
