description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Time reading (minutes & seconds)	9m19.48s
Time solving (minutes & seconds)	0m15.49s
Time writing (minutes & seconds)	0m4.38s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
