Index	Name	Value	Reduced Cost
332	x_B,R,O,R,W,P,0	61.11	 
336	x_B,R,O,R,W,P,4	1.89	 
337	x_B,R,O,R,W,M,0	238.62	 
341	x_B,R,O,R,W,M,4	7.38	 
342	x_B,R,O,R,W,L,0	1229.96	 
346	x_B,R,O,R,W,L,4	38.04	 
347	x_B,R,O,R,C,S,0	56.26	 
351	x_B,R,O,R,C,S,4	1.74	 
352	x_B,R,O,R,C,P,0	67.9	 
356	x_B,R,O,R,C,P,4	2.1	 
357	x_B,R,O,R,C,M,0	349.2	 
361	x_B,R,O,R,C,M,4	10.8	 
362	x_B,R,O,R,C,L,0	1562.67	 
366	x_B,R,O,R,C,L,4	48.33	 
367	x_B,R,P,L,W,S,0	134.83	 
371	x_B,R,P,L,W,S,4	4.17	 
372	x_B,R,P,L,W,P,0	82.45	 
376	x_B,R,P,L,W,P,4	2.55	 
377	x_B,R,P,L,W,M,0	65.96	 
381	x_B,R,P,L,W,M,4	2.04	 
382	x_B,R,P,L,W,L,0	411.28	 
386	x_B,R,P,L,W,L,4	12.72	 
387	x_B,R,P,L,C,S,0	150.35	 
391	x_B,R,P,L,C,S,4	4.65	 
394	x_B,R,P,L,C,P,2	51.41	 
396	x_B,R,P,L,C,P,4	1.59	 
397	x_B,R,P,L,C,M,0	82.45	 
401	x_B,R,P,L,C,M,4	2.55	 
402	x_B,R,P,L,C,L,0	456.87	 
406	x_B,R,P,L,C,L,4	14.13	 
409	x_B,R,P,L,I,L,2	69.84	 
411	x_B,R,P,L,I,L,4	2.16	 
414	x_B,R,P,L,A,M,2	74.69	 
416	x_B,R,P,L,A,M,4	2.31	 
419	x_B,R,P,L,A,L,2	82.45	 
421	x_B,R,P,L,A,L,4	2.55	 
422	x_B,R,P,H,W,P,0	73.72	 
426	x_B,R,P,H,W,P,4	2.28	 
427	x_B,R,P,H,W,M,0	196.91	 
431	x_B,R,P,H,W,M,4	6.09	 
432	x_B,R,P,H,W,L,0	314.28	 
436	x_B,R,P,H,W,L,4	9.72	 
437	x_B,R,P,H,C,M,0	323.01	 
441	x_B,R,P,H,C,M,4	9.99	 
442	x_B,R,P,H,C,L,0	624.68	 
446	x_B,R,P,H,C,L,4	19.32	 
449	x_B,R,P,H,L,L,2	75.05	 
451	x_B,R,P,H,L,L,4	3.95	 
452	x_B,R,P,C,P,S,0	51.41	 
456	x_B,R,P,C,P,S,4	1.59	 
457	x_B,R,P,C,P,L,0	284.21	 
461	x_B,R,P,C,P,L,4	8.79	 
462	x_B,R,P,C,D,S,0	64.99	 
466	x_B,R,P,C,D,S,4	2.01	 
467	x_B,R,P,C,D,L,0	210.49	 
471	x_B,R,P,C,D,L,4	6.51	 
472	x_B,R,P,C,W,S,0	450.08	 
476	x_B,R,P,C,W,S,4	13.92	 
477	x_B,R,P,C,W,P,0	268.69	 
481	x_B,R,P,C,W,P,4	8.31	 
482	x_B,R,P,C,W,M,0	155.2	 
486	x_B,R,P,C,W,M,4	4.8	 
487	x_B,R,P,C,W,L,0	1131.99	 
491	x_B,R,P,C,W,L,4	35.01	 
492	x_B,R,P,C,C,S,0	380.24	 
496	x_B,R,P,C,C,S,4	11.76	 
497	x_B,R,P,C,C,P,0	62.08	 
501	x_B,R,P,C,C,P,4	1.92	 
502	x_B,R,P,C,C,M,0	212.43	 
506	x_B,R,P,C,C,M,4	6.57	 
507	x_B,R,P,C,C,L,0	1024.32	 
511	x_B,R,P,C,C,L,4	31.68	 
514	x_B,R,P,C,I,S,2	59.17	 
516	x_B,R,P,C,I,S,4	1.83	 
519	x_B,R,P,C,I,L,2	161.99	 
521	x_B,R,P,C,I,L,4	5.01	 
524	x_B,R,P,C,A,S,2	74.69	 
526	x_B,R,P,C,A,S,4	2.31	 
529	x_B,R,P,C,A,L,2	83.42	 
531	x_B,R,P,C,A,L,4	2.58	 
532	x_B,R,P,R,P,S,0	55.29	 
536	x_B,R,P,R,P,S,4	1.71	 
537	x_B,R,P,R,P,M,0	157.14	 
541	x_B,R,P,R,P,M,4	4.86	 
542	x_B,R,P,R,P,L,0	466.57	 
546	x_B,R,P,R,P,L,4	14.43	 
547	x_B,R,P,R,D,S,0	268.69	 
551	x_B,R,P,R,D,S,4	8.31	 
553	x_B,R,P,R,D,M,1	333.68	 
556	x_B,R,P,R,D,M,4	10.32	 
558	x_B,R,P,R,D,L,1	1152.36	 
561	x_B,R,P,R,D,L,4	35.64	 
562	x_B,R,P,R,W,S,0	537.38	 
566	x_B,R,P,R,W,S,4	16.62	 
567	x_B,R,P,R,W,P,0	361.81	 
571	x_B,R,P,R,W,P,4	11.19	 
572	x_B,R,P,R,W,M,0	1690.71	 
576	x_B,R,P,R,W,M,4	52.29	 
577	x_B,R,P,R,W,L,0	5118.69	 
581	x_B,R,P,R,W,L,4	158.31	 
582	x_B,R,P,R,C,S,0	387.03	 
586	x_B,R,P,R,C,S,4	11.97	 
587	x_B,R,P,R,C,P,0	382.18	 
591	x_B,R,P,R,C,P,4	11.82	 
592	x_B,R,P,R,C,M,0	2529.76	 
596	x_B,R,P,R,C,M,4	78.24	 
597	x_B,R,P,R,C,L,0	7360.36	 
601	x_B,R,P,R,C,L,4	227.64	 
604	x_B,R,P,R,I,P,2	53.35	 
606	x_B,R,P,R,I,P,4	1.65	 
609	x_B,R,P,R,I,L,2	89.24	 
611	x_B,R,P,R,I,L,4	2.76	 
614	x_B,R,P,R,A,L,2	50.44	 
616	x_B,R,P,R,A,L,4	1.56	 
619	x_B,R,P,R,L,L,2	76.95	 
621	x_B,R,P,R,L,L,4	4.05	 
622	x_B,N,N,L,P,L,0	89.24	 
626	x_B,N,N,L,P,L,4	2.76	 
627	x_B,N,N,L,D,L,0	56.26	 
631	x_B,N,N,L,D,L,4	1.74	 
632	x_B,N,N,L,W,S,0	72.75	 
636	x_B,N,N,L,W,S,4	2.25	 
637	x_B,N,N,L,W,P,0	62.08	 
641	x_B,N,N,L,W,P,4	1.92	 
642	x_B,N,N,L,W,M,0	326.89	 
646	x_B,N,N,L,W,M,4	10.11	 
647	x_B,N,N,L,W,L,0	1109.68	 
651	x_B,N,N,L,W,L,4	34.32	 
652	x_B,N,N,L,C,S,0	97.0	 
656	x_B,N,N,L,C,S,4	3.0	 
657	x_B,N,N,L,C,M,0	384.12	 
661	x_B,N,N,L,C,M,4	11.88	 
662	x_B,N,N,L,C,L,0	1354.12	 
666	x_B,N,N,L,C,L,4	41.88	 
669	x_B,N,N,L,I,S,2	135.8	 
671	x_B,N,N,L,I,S,4	4.2	 
674	x_B,N,N,L,I,M,2	210.49	 
676	x_B,N,N,L,I,M,4	6.51	 
679	x_B,N,N,L,I,L,2	234.74	 
681	x_B,N,N,L,I,L,4	7.26	 
684	x_B,N,N,L,A,S,2	83.42	 
686	x_B,N,N,L,A,S,4	2.58	 
689	x_B,N,N,L,A,M,2	152.29	 
691	x_B,N,N,L,A,M,4	4.71	 
694	x_B,N,N,L,A,L,2	366.66	 
696	x_B,N,N,L,A,L,4	11.34	 
699	x_B,N,N,L,L,M,2	71.25	 
701	x_B,N,N,L,L,M,4	3.75	 
702	x_B,N,N,H,C,L,0	68.87	 
706	x_B,N,N,H,C,L,4	2.13	 
707	x_B,N,N,C,P,M,0	881.73	 
711	x_B,N,N,C,P,M,4	27.27	 
713	x_B,N,N,C,P,L,1	1229.96	 
716	x_B,N,N,C,P,L,4	38.04	 
717	x_B,N,N,C,D,S,0	81.48	 
721	x_B,N,N,C,D,S,4	2.52	 
722	x_B,N,N,C,D,M,0	523.8	 
726	x_B,N,N,C,D,M,4	16.2	 
728	x_B,N,N,C,D,L,1	1673.25	 
731	x_B,N,N,C,D,L,4	51.75	 
732	x_B,N,N,C,W,S,0	103.79	 
736	x_B,N,N,C,W,S,4	3.21	 
737	x_B,N,N,C,W,P,0	300.7	 
741	x_B,N,N,C,W,P,4	9.3	 
742	x_B,N,N,C,W,M,0	1614.08	 
746	x_B,N,N,C,W,M,4	49.92	 
747	x_B,N,N,C,W,L,0	4170.03	 
751	x_B,N,N,C,W,L,4	128.97	 
752	x_B,N,N,C,C,S,0	94.09	 
756	x_B,N,N,C,C,S,4	2.91	 
757	x_B,N,N,C,C,P,0	631.47	 
761	x_B,N,N,C,C,P,4	19.53	 
762	x_B,N,N,C,C,M,0	1312.41	 
766	x_B,N,N,C,C,M,4	40.59	 
767	x_B,N,N,C,C,L,0	3997.37	 
771	x_B,N,N,C,C,L,4	123.63	 
774	x_B,N,N,C,I,M,2	59.17	 
776	x_B,N,N,C,I,M,4	1.83	 
779	x_B,N,N,C,I,L,2	239.59	 
781	x_B,N,N,C,I,L,4	7.41	 
784	x_B,N,N,C,A,P,2	62.08	 
786	x_B,N,N,C,A,P,4	1.92	 
789	x_B,N,N,C,A,M,2	61.11	 
791	x_B,N,N,C,A,M,4	1.89	 
794	x_B,N,N,C,A,L,2	324.95	 
796	x_B,N,N,C,A,L,4	10.05	 
799	x_B,N,N,C,L,M,2	87.4	 
801	x_B,N,N,C,L,M,4	4.6	 
804	x_B,N,N,C,L,L,2	171.95	 
806	x_B,N,N,C,L,L,4	9.05	 
807	x_B,N,N,R,P,L,0	112.52	 
811	x_B,N,N,R,P,L,4	3.48	 
812	x_B,N,N,R,D,L,0	74.69	 
816	x_B,N,N,R,D,L,4	2.31	 
817	x_B,N,N,R,W,P,0	65.96	 
821	x_B,N,N,R,W,P,4	2.04	 
822	x_B,N,N,R,W,M,0	282.27	 
826	x_B,N,N,R,W,M,4	8.73	 
827	x_B,N,N,R,W,L,0	914.71	 
831	x_B,N,N,R,W,L,4	28.29	 
832	x_B,N,N,R,C,M,0	344.35	 
836	x_B,N,N,R,C,M,4	10.65	 
837	x_B,N,N,R,C,L,0	1655.79	 
841	x_B,N,N,R,C,L,4	51.21	 
842	x_B,N,O,H,W,L,0	278.39	 
846	x_B,N,O,H,W,L,4	8.61	 
847	x_B,N,O,H,C,M,0	129.01	 
851	x_B,N,O,H,C,M,4	3.99	 
852	x_B,N,O,H,C,L,0	654.75	 
856	x_B,N,O,H,C,L,4	20.25	 
857	x_B,N,O,R,P,L,0	123.19	 
861	x_B,N,O,R,P,L,4	3.81	 
862	x_B,N,O,R,D,M,0	87.3	 
866	x_B,N,O,R,D,M,4	2.7	 
867	x_B,N,O,R,D,L,0	165.87	 
871	x_B,N,O,R,D,L,4	5.13	 
872	x_B,N,O,R,W,P,0	67.9	 
876	x_B,N,O,R,W,P,4	2.1	 
877	x_B,N,O,R,W,M,0	157.14	 
881	x_B,N,O,R,W,M,4	4.86	 
882	x_B,N,O,R,W,L,0	1297.86	 
886	x_B,N,O,R,W,L,4	40.14	 
887	x_B,N,O,R,C,M,0	373.45	 
891	x_B,N,O,R,C,M,4	11.55	 
892	x_B,N,O,R,C,L,0	2328.97	 
896	x_B,N,O,R,C,L,4	72.03	 
897	x_B,N,P,H,W,M,0	87.3	 
901	x_B,N,P,H,W,M,4	2.7	 
902	x_B,N,P,H,W,L,0	237.65	 
906	x_B,N,P,H,W,L,4	7.35	 
909	x_B,N,P,H,C,P,2	54.32	 
911	x_B,N,P,H,C,P,4	1.68	 
912	x_B,N,P,H,C,M,0	130.95	 
916	x_B,N,P,H,C,M,4	4.05	 
917	x_B,N,P,H,C,L,0	463.66	 
921	x_B,N,P,H,C,L,4	14.34	 
922	x_B,N,P,C,C,L,0	75.66	 
926	x_B,N,P,C,C,L,4	2.34	 
927	x_B,N,P,R,P,L,0	74.69	 
931	x_B,N,P,R,P,L,4	2.31	 
932	x_B,N,P,R,D,L,0	63.05	 
936	x_B,N,P,R,D,L,4	1.95	 
937	x_B,N,P,R,W,P,0	60.14	 
941	x_B,N,P,R,W,P,4	1.86	 
942	x_B,N,P,R,W,M,0	213.4	 
946	x_B,N,P,R,W,M,4	6.6	 
947	x_B,N,P,R,W,L,0	719.74	 
951	x_B,N,P,R,W,L,4	22.26	 
952	x_B,N,P,R,C,P,0	69.84	 
956	x_B,N,P,R,C,P,4	2.16	 
957	x_B,N,P,R,C,M,0	313.31	 
961	x_B,N,P,R,C,M,4	9.69	 
962	x_B,N,P,R,C,L,0	1208.62	 
966	x_B,N,P,R,C,L,4	37.38	 
969	x_B,N,P,R,A,L,2	114.46	 
971	x_B,N,P,R,A,L,4	3.54	 
972	x_B,N,S,H,W,S,0	208.55	 
976	x_B,N,S,H,W,S,4	6.45	 
977	x_B,N,S,H,W,P,0	109.61	 
981	x_B,N,S,H,W,P,4	3.39	 
982	x_B,N,S,H,W,M,0	199.82	 
986	x_B,N,S,H,W,M,4	6.18	 
987	x_B,N,S,H,W,L,0	944.78	 
991	x_B,N,S,H,W,L,4	29.22	 
992	x_B,N,S,H,C,S,0	105.73	 
996	x_B,N,S,H,C,S,4	3.27	 
999	x_B,N,S,H,C,P,2	63.05	 
1001	x_B,N,S,H,C,P,4	1.95	 
1002	x_B,N,S,H,C,M,0	284.21	 
1006	x_B,N,S,H,C,M,4	8.79	 
1007	x_B,N,S,H,C,L,0	1568.49	 
1011	x_B,N,S,H,C,L,4	48.51	 
1014	x_B,N,S,H,I,L,2	55.29	 
1016	x_B,N,S,H,I,L,4	1.71	 
1019	x_B,N,S,H,L,L,2	98.8	 
1021	x_B,N,S,H,L,L,4	5.2	 
1022	x_B,N,S,R,P,L,0	625.65	 
1026	x_B,N,S,R,P,L,4	19.35	 
1027	x_B,N,S,R,D,S,0	64.02	 
1031	x_B,N,S,R,D,S,4	1.98	 
1032	x_B,N,S,R,D,M,0	204.67	 
1036	x_B,N,S,R,D,M,4	6.33	 
1037	x_B,N,S,R,D,L,0	480.15	 
1041	x_B,N,S,R,D,L,4	14.85	 
1042	x_B,N,S,R,W,S,0	528.65	 
1046	x_B,N,S,R,W,S,4	16.35	 
1047	x_B,N,S,R,W,P,0	637.29	 
1051	x_B,N,S,R,W,P,4	19.71	 
1052	x_B,N,S,R,W,M,0	776.97	 
1056	x_B,N,S,R,W,M,4	24.03	 
1057	x_B,N,S,R,W,L,0	4880.07	 
1061	x_B,N,S,R,W,L,4	150.93	 
1062	x_B,N,S,R,C,S,0	177.51	 
1066	x_B,N,S,R,C,S,4	5.49	 
1067	x_B,N,S,R,C,P,0	439.41	 
1071	x_B,N,S,R,C,P,4	13.59	 
1072	x_B,N,S,R,C,M,0	1791.59	 
1076	x_B,N,S,R,C,M,4	55.41	 
1077	x_B,N,S,R,C,L,0	8615.54	 
1081	x_B,N,S,R,C,L,4	266.46	 
1084	x_B,N,S,R,L,L,2	83.6	 
1086	x_B,N,S,R,L,L,4	4.4	 
1087	x_U,R,N,L,C,L,0	145.5	 
1091	x_U,R,N,L,C,L,4	4.5	 
1092	x_U,R,N,H,W,L,0	101.85	 
1096	x_U,R,N,H,W,L,4	3.15	 
1097	x_U,R,N,H,C,L,0	185.27	 
1101	x_U,R,N,H,C,L,4	5.73	 
1102	x_U,R,N,C,W,L,0	108.64	 
1106	x_U,R,N,C,W,L,4	3.36	 
1107	x_U,R,N,C,C,L,0	108.64	 
1111	x_U,R,N,C,C,L,4	3.36	 
1112	x_U,R,N,R,C,L,0	212.43	 
1116	x_U,R,N,R,C,L,4	6.57	 
1117	x_U,R,O,H,C,L,0	49.47	 
1121	x_U,R,O,H,C,L,4	1.53	 
1122	x_U,R,O,R,C,L,0	99.91	 
1126	x_U,R,O,R,C,L,4	3.09	 
1127	x_U,R,P,H,W,L,0	110.58	 
1131	x_U,R,P,H,W,L,4	3.42	 
1132	x_U,R,P,H,C,L,0	304.58	 
1136	x_U,R,P,H,C,L,4	9.42	 
1137	x_U,R,P,R,W,S,0	56.26	 
1141	x_U,R,P,R,W,S,4	1.74	 
1142	x_U,R,P,R,W,P,0	57.23	 
1146	x_U,R,P,R,W,P,4	1.77	 
1147	x_U,R,P,R,W,L,0	391.88	 
1151	x_U,R,P,R,W,L,4	12.12	 
1152	x_U,R,P,R,C,M,0	72.75	 
1156	x_U,R,P,R,C,M,4	2.25	 
1157	x_U,R,P,R,C,L,0	934.11	 
1161	x_U,R,P,R,C,L,4	28.89	 
1162	x_U,N,N,H,W,S,0	53.35	 
