cons_id	cons_slack	cons_dual
0	0.0	0.002505579421099894
1	-1023.5667772106236	-0.0
2	5000.0	-0.0
3	0.0	-0.01
16	0.0	-0.002505579421099894
24	0.0	-0.002505579421099894
38	0.0	-0.002505579421099894
71	0.0	-0.002505579421099894
103	0.0	-0.002505579421099894
121	0.0	-0.002505579421099894
122	0.0	-0.002505579421099894
165	0.0	-0.002505579421099894
189	0.0	-0.002505579421099894
5959	0.0	-0.002505579421099894
5962	0.0	-0.002505579421099894
5963	0.0	-0.002505579421099894
5964	0.0	-0.002505579421099894
5965	0.0	-0.002505579421099894
5966	0.0	-0.002505579421099894
5967	0.0	-0.002505579421099894
5970	0.0	-0.002505579421099894
5973	0.0	-0.002505579421099894
5974	0.0	-0.002505579421099894
5975	0.0	-0.002505579421099894
5978	0.0	-0.002505579421099894
5979	0.0	-0.002505579421099894
5984	0.0	-0.002505579421099894
5987	0.0	-0.002505579421099894
5988	0.0	-0.002505579421099894
5989	0.0	-0.002505579421099894
5991	0.0	-0.002505579421099894
5992	0.0	-0.002505579421099894
5993	0.0	-0.002505579421099894
5995	0.0	-0.002505579421099894
5998	0.0	-0.002505579421099894
5999	0.0	-0.002505579421099894
6000	0.0	-0.002505579421099894
6004	0.0	-0.002505579421099894
6008	0.0	-0.002505579421099894
6009	0.0	-0.002505579421099894
6013	0.0	-0.002505579421099894
6014	0.0	-0.002505579421099894
6015	0.0	-0.002505579421099894
6016	0.0	-0.002505579421099894
6017	0.0	-0.002505579421099894
6019	0.0	-0.002505579421099894
6021	0.0	-0.002505579421099894
6022	0.0	-0.002505579421099894
6025	0.0	-0.002505579421099894
6026	0.0	-0.007075009760823527
6030	0.0	-0.002505579421099894
6034	0.0	-0.002505579421099894
6035	0.0	-0.002505579421099894
6037	0.0	-0.002505579421099894
6039	0.0	-0.002505579421099894
6040	0.0	-0.002505579421099894
6044	0.0	-0.002505579421099894
6047	0.0	-0.002505579421099894
6048	0.0	-0.002505579421099894
6050	0.0	-0.002505579421099894
6051	0.0	-0.002505579421099894
6053	0.0	-0.002505579421099894
6054	0.0	-0.002505579421099894
6056	0.0	-0.002505579421099894
6057	0.0	-0.002505579421099894
6058	0.0	-0.002505579421099894
6059	0.0	-0.007075009760823527
6064	0.0	-0.002505579421099894
6068	0.0	-0.002505579421099894
6069	0.0	-0.002505579421099894
6070	0.0	-0.002505579421099894
6071	0.0	-0.002505579421099894
6075	0.0	-0.002505579421099894
6078	0.0	-0.002505579421099894
6080	0.0	-0.002505579421099894
6081	0.0	-0.002505579421099894
6083	0.0	-0.002505579421099894
6084	0.0	-0.002505579421099894
6085	0.0	-0.002505579421099894
6089	0.0	-0.002505579421099894
6091	0.0	-0.002505579421099894
6092	0.0	-0.002505579421099894
6093	0.0	-0.002505579421099894
6096	0.0	-0.002505579421099894
6097	0.0	-0.002505579421099894
6098	0.0	-0.002505579421099894
6099	0.0	-0.002505579421099894
6102	0.0	-0.002505579421099894
6105	0.0	-0.002505579421099894
6106	0.0	-0.002505579421099894
6107	0.0	-0.002505579421099894
6110	0.0	-0.002505579421099894
6114	0.0	-0.002505579421099894
6115	0.0	-0.002505579421099894
6116	0.0	-0.002505579421099894
6119	0.0	-0.002505579421099894
6120	0.0	-0.002505579421099894
6121	0.0	-0.002505579421099894
6123	0.0	-0.002505579421099894
6125	0.0	-0.002505579421099894
6126	0.0	-0.002505579421099894
6127	0.0	-0.002505579421099894
6128	0.0	-0.002505579421099894
6130	0.0	-0.002505579421099894
6133	0.0	-0.002505579421099894
6134	0.0	-0.002505579421099894
6135	0.0	-0.002505579421099894
6139	0.0	-0.002505579421099894
6142	0.0	-0.0025106006223445834
6143	0.0	-0.002515631886116817
6144	0.0	-0.002520673232581981
6145	0.0	-0.002525724681945873
6146	0.0	-0.007089188137097722
6150	0.0	-0.005015607526628073
6151	0.0	-0.0050256588443167065
