iteration	description	value
1	Optimization solver	CPLEX
1	Solution status	Optimal
1	Solution algorithm	2
1	Simplex iterations	0
1	Prism version when problem solved	PRISM ALPHA 2.0.01
1	Date & time problem solved	2019/12/03 - 15:28:58
1	Time reading (minutes & seconds)	0.8s
1	Time solving (minutes & seconds)	0.02s
1	Time writing (minutes & seconds)	0.17s
1	Total variables	12843
1	Total constraints	12026
1	Objective value	9.9835003E7
