iteration	description	value
0	Optimization solver	CPLEX
0	Solution status	Optimal
0	Solution algorithm	2
0	Simplex iterations	2
0	Prism version when problem solved	PRISM ALPHA 2.0.01
0	Date & time problem solved	2019/12/03 - 10:15:51
0	Time reading (minutes & seconds)	0.44s
0	Time solving (minutes & seconds)	0.01s
0	Time writing (minutes & seconds)	0.2s
0	Total variables	11803
0	Total constraints	10972
0	Objective value	9.9835003E7
