iteration	description	value
6	Optimization solver	CPLEX
6	Solution status	Optimal
6	Solution algorithm	2
6	Simplex iterations	0
6	Prism version when problem solved	PRISM ALPHA 2.0.01
6	Date & time problem solved	2019/12/03 - 15:29:03
6	Time reading (minutes & seconds)	0.83s
6	Time solving (minutes & seconds)	0.04s
6	Time writing (minutes & seconds)	0.14s
6	Total variables	18043
6	Total constraints	17226
6	Objective value	9.9978871E7
