iteration	description	value
9	Optimization solver	CPLEX
9	Solution status	Optimal
9	Solution algorithm	2
9	Simplex iterations	0
9	Prism version when problem solved	PRISM ALPHA 2.0.01
9	Date & time problem solved	2019/12/03 - 10:16:00
9	Time reading (minutes & seconds)	0.83s
9	Time solving (minutes & seconds)	0.02s
9	Time writing (minutes & seconds)	0.14s
9	Total variables	21163
9	Total constraints	20346
9	Objective value	9.9982291E7
