iteration	description	value
7	Optimization solver	CPLEX
7	Solution status	Optimal
7	Solution algorithm	2
7	Simplex iterations	0
7	Prism version when problem solved	PRISM ALPHA 2.0.01
7	Date & time problem solved	2019/12/03 - 10:15:58
7	Time reading (minutes & seconds)	0.61s
7	Time solving (minutes & seconds)	0.02s
7	Time writing (minutes & seconds)	0.14s
7	Total variables	19083
7	Total constraints	18266
7	Objective value	9.9961163E7
