description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Time reading (minutes & seconds)	5m8.35s
Time solving (minutes & seconds)	0m14.99s
Time writing (minutes & seconds)	0m4.78s
Total variables	541409
Total constraints	508056
Objective value	4.0216240433E8
