description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	41
Prism version when problem solved	PRISM ALPHA 1.2.02
Date & time problem solved	2018/07/04 - 10:30:35
Time reading (minutes & seconds)	24.99s
Time solving (minutes & seconds)	12.61s
Time writing (minutes & seconds)	13.75s
Total variables	562594
Total constraints	524281
Objective value	5.39341738E7
