description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	53
Time reading (minutes & seconds)	1m18.97s
Time solving (minutes & seconds)	0m10.16s
Time writing (minutes & seconds)	0m1.51s
Total variables	472369
Total constraints	445300
Objective value	4.1966211764E8
