description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	59
Time reading (minutes & seconds)	10m22.43s
Time solving (minutes & seconds)	0m18.81s
Time writing (minutes & seconds)	0m13.48s
Total variables	542205
Total constraints	501583
Objective value	5.954983711E7
