description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	62
Prism version when problem solved	PRISM ALPHA 1.0.28
Date & time problem solved	2018/02/14 - 07:42:21
Time reading (minutes & seconds)	8m31.3s
Time solving (minutes & seconds)	3m32.2s
Time writing (minutes & seconds)	27.9s
Total variables	1621509
Total constraints	1467469
Objective value	1.951017684E7
