var_id	var_name	var_value	var_reduced_cost	db_strata_tofind	db_row_id_tofind	db_status
7531	xNG_B,R,N,C,C,L,2	4457.97	0.0	C_L_NG_0_E	1	good
7532	xNG_B,R,N,C,C,L,3	4449.05	0.0	C_L_NG_0_E	2	good
7533	xNG_B,R,N,C,C,L,4	4440.15	0.0	C_L_NG_0_E	3	good
7534	xNG_B,R,N,C,C,L,5	4431.27	0.0	C_L_NG_0_E	4	good
7535	xNG_B,R,N,C,I,M,1	75.05	0.0	I_M_NG_0_E	0	good
7536	xNG_B,R,N,C,I,M,2	74.9	0.0	I_M_NG_0_E	1	good
7537	xNG_B,R,N,C,I,M,3	74.75	0.0	I_M_NG_0_E	2	good
7538	xNG_B,R,N,C,I,M,4	74.6	0.0	I_M_NG_0_E	3	good
7539	xNG_B,R,N,C,I,M,5	74.45	0.0	I_M_NG_0_E	4	good
7550	xNG_B,R,N,C,A,L,1	130.15	0.0	A_L_NG_0_E	0	good
7551	xNG_B,R,N,C,A,L,2	129.89	0.0	A_L_NG_0_E	1	good
7552	xNG_B,R,N,C,A,L,3	129.63	0.0	A_L_NG_0_E	2	good
7553	xNG_B,R,N,C,A,L,4	129.37	0.0	A_L_NG_0_E	3	good
7554	xNG_B,R,N,C,A,L,5	129.11	0.0	A_L_NG_0_E	4	good
7555	xNG_B,R,N,C,L,M,1	152.95	0.0	L_M_NG_0_E	0	good
7556	xNG_B,R,N,C,L,M,2	152.64	0.0	L_M_NG_0_E	1	good
7557	xNG_B,R,N,C,L,M,3	152.34	0.0	L_M_NG_0_E	2	good
7558	xNG_B,R,N,C,L,M,4	152.03	0.0	L_M_NG_0_E	3	good
7559	xNG_B,R,N,C,L,M,5	151.73	0.0	L_M_NG_0_E	4	good
7560	xNG_B,R,N,C,L,L,1	133.0	0.0	L_L_NG_0_E	0	good
7561	xNG_B,R,N,C,L,L,2	132.73	0.0	L_L_NG_0_E	1	good
7562	xNG_B,R,N,C,L,L,3	132.47	0.0	L_L_NG_0_E	2	good
7563	xNG_B,R,N,C,L,L,4	132.2	0.0	L_L_NG_0_E	3	good
7564	xNG_B,R,N,C,L,L,5	131.94	0.0	L_L_NG_0_E	4	good
7565	xNG_B,R,N,R,P,M,1	129.2	0.0	P_M_NG_0_E	0	good
7566	xNG_B,R,N,R,P,M,2	128.94	0.0	P_M_NG_0_E	1	good
7567	xNG_B,R,N,R,P,M,3	128.68	0.0	P_M_NG_0_E	2	good
7568	xNG_B,R,N,R,P,M,4	128.43	0.0	P_M_NG_0_E	3	good
7569	xNG_B,R,N,R,P,M,5	128.17	0.0	P_M_NG_0_E	4	good
7570	xNG_B,R,N,R,P,L,1	64.6	0.0	P_L_NG_0_E	0	good
7571	xNG_B,R,N,R,P,L,2	64.47	0.0	P_L_NG_0_E	1	good
7572	xNG_B,R,N,R,P,L,3	64.34	0.0	P_L_NG_0_E	2	good
7573	xNG_B,R,N,R,P,L,4	64.21	0.0	P_L_NG_0_E	3	good
7574	xNG_B,R,N,R,P,L,5	64.08	0.0	P_L_NG_0_E	4	good
7575	xNG_B,R,N,R,D,M,1	114.0	0.0	D_M_NG_0_E	0	good
7576	xNG_B,R,N,R,D,M,2	113.77	0.0	D_M_NG_0_E	1	good
7577	xNG_B,R,N,R,D,M,3	113.54	0.0	D_M_NG_0_E	2	good
7578	xNG_B,R,N,R,D,M,4	113.32	0.0	D_M_NG_0_E	3	good
7579	xNG_B,R,N,R,D,M,5	113.09	0.0	D_M_NG_0_E	4	good
7595	xNG_B,R,N,R,W,M,1	575.7	0.0	W_M_NG_0_E	0	good
7596	xNG_B,R,N,R,W,M,2	574.55	0.0	W_M_NG_0_E	1	good
7597	xNG_B,R,N,R,W,M,3	573.4	0.0	W_M_NG_0_E	2	good
7598	xNG_B,R,N,R,W,M,4	572.25	0.0	W_M_NG_0_E	3	good
7599	xNG_B,R,N,R,W,M,5	571.11	0.0	W_M_NG_0_E	4	good
7625	xNG_B,R,N,R,L,L,1	53.2	0.0	L_L_NG_0_E	0	good
7626	xNG_B,R,N,R,L,L,2	53.09	0.0	L_L_NG_0_E	1	good
7627	xNG_B,R,N,R,L,L,3	52.99	0.0	L_L_NG_0_E	2	good
7628	xNG_B,R,N,R,L,L,4	52.88	0.0	L_L_NG_0_E	3	good
7629	xNG_B,R,N,R,L,L,5	52.78	0.0	L_L_NG_0_E	4	good
7635	xNG_B,R,O,H,C,L,1	159.6	0.0	C_L_NG_0_E	0	good
7636	xNG_B,R,O,H,C,L,2	159.28	0.0	C_L_NG_0_E	1	good
7637	xNG_B,R,O,H,C,L,3	158.96	0.0	C_L_NG_0_E	2	good
7638	xNG_B,R,O,H,C,L,4	158.64	0.0	C_L_NG_0_E	3	good
7639	xNG_B,R,O,H,C,L,5	158.33	0.0	C_L_NG_0_E	4	good
7640	xNG_B,R,O,C,P,L,1	78.85	0.0	P_L_NG_0_E	0	good
