Index	Name	Value	Reduced Cost
0	y_0	679361.75	0.0
1	y_1	500000.0	0.0
2	y_2	544550.48	0.0
3	y_3	100062.49	0.0
4	y_4	2.077147174E8	0.0
5	y_5	679361.75	0.0
12	u_0	179361.75	0.0
14	u_2	44550.48	0.0
18	z_0	100000.0	-1.0
20	x_B,R,N,L,D,M,1	103.79	0.0
23	x_B,R,N,L,D,M,4	3.21	0.0
26	x_B,R,N,L,D,L,2	59.17	0.0
28	x_B,R,N,L,D,L,4	1.83	0.0
31	x_B,R,N,L,W,P,2	102.82	0.0
33	x_B,R,N,L,W,P,4	3.18	0.0
35	x_B,R,N,L,W,M,1	909.86	0.0
38	x_B,R,N,L,W,M,4	28.14	0.0
40	x_B,R,N,L,W,L,1	1293.01	0.0
43	x_B,R,N,L,W,L,4	39.99	0.0
45	x_B,R,N,L,C,P,1	77.6	0.0
48	x_B,R,N,L,C,P,4	2.4	0.0
51	x_B,R,N,L,C,M,2	738.17	0.0
53	x_B,R,N,L,C,M,4	22.83	0.0
56	x_B,R,N,L,C,L,2	1523.87	0.0
58	x_B,R,N,L,C,L,4	47.13	0.0
60	x_B,R,N,L,I,M,1	108.64	0.0
63	x_B,R,N,L,I,M,4	3.36	0.0
65	x_B,R,N,L,I,L,1	109.61	0.0
68	x_B,R,N,L,I,L,4	3.39	0.0
70	x_B,R,N,L,A,M,1	189.15	0.0
73	x_B,R,N,L,A,M,4	5.85	0.0
75	x_B,R,N,L,A,L,1	300.7	0.0
78	x_B,R,N,L,A,L,4	9.3	0.0
80	x_B,R,N,L,L,M,1	63.65	0.0
83	x_B,R,N,L,L,M,4	3.35	0.0
85	x_B,R,N,L,N,N,1	779.0	0.0
90	x_B,R,N,H,W,P,1	125.13	0.0
93	x_B,R,N,H,W,P,4	3.87	0.0
95	x_B,R,N,H,W,M,1	396.73	0.0
98	x_B,R,N,H,W,M,4	12.27	0.0
100	x_B,R,N,H,W,L,1	684.82	0.0
103	x_B,R,N,H,W,L,4	21.18	0.0
105	x_B,R,N,H,C,P,1	56.26	0.0
108	x_B,R,N,H,C,P,4	1.74	0.0
111	x_B,R,N,H,C,M,2	493.73	0.0
113	x_B,R,N,H,C,M,4	15.27	0.0
115	x_B,R,N,H,C,L,1	988.43	0.0
118	x_B,R,N,H,C,L,4	30.57	0.0
120	x_B,R,N,H,A,M,1	55.29	0.0
123	x_B,R,N,H,A,M,4	1.71	0.0
125	x_B,R,N,H,L,M,1	112.1	0.0
128	x_B,R,N,H,L,M,4	5.9	0.0
132	x_B,R,N,C,P,P,3	53.35	0.0
133	x_B,R,N,C,P,P,4	1.65	0.0
137	x_B,R,N,C,P,M,3	428.74	0.0
138	x_B,R,N,C,P,M,4	13.26	0.0
142	x_B,R,N,C,P,L,3	811.89	0.0
