Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CROLIL	C	R	O	L	I	L	343	8	Yes	
CROLIM	C	R	O	L	I	M	252	8	Yes	
CROLIP	C	R	O	L	I	P	495	4	Yes	
CROLLL	C	R	O	L	L	L	87	8	Yes	
CROLLM	C	R	O	L	L	M	207	8	Yes	
CROLLP	C	R	O	L	L	P	444	4	Yes	
CRORAL	C	R	O	R	A	L	238	9	Yes	
CRORAM	C	R	O	R	A	M	202	8	Yes	
CRORAP	C	R	O	R	A	P	171	4	Yes	
CRORIL	C	R	O	R	I	L	290	8	Yes	
CRORIM	C	R	O	R	I	M	138	8	Yes	
CRORIP	C	R	O	R	I	P	134	4	Yes	
CRORLL	C	R	O	R	L	L	57	8	Yes	
CRORLM	C	R	O	R	L	M	128	8	Yes	
CRORLP	C	R	O	R	L	P	111	4	Yes	
CRPCAL	C	R	P	C	A	L	1055	9	Yes	
CRPCAM	C	R	P	C	A	M	2432	8	Yes	
CRPCAP	C	R	P	C	A	P	6553	4	Yes	
CRPCIL	C	R	P	C	I	L	2382	8	Yes	
CRPCIM	C	R	P	C	I	M	1762	8	Yes	
CRPCIP	C	R	P	C	I	P	2665	4	Yes	
CRPCLL	C	R	P	C	L	L	683	8	Yes	
CRPCLM	C	R	P	C	L	M	1879	8	Yes	
CRPCLP	C	R	P	C	L	P	2948	4	Yes	
CRPCNN	C	R	P	C	N	N	63	not found	Yes	
CRPCPL	C	R	P	C	P	L	164	8	Yes	
CRPCPM	C	R	P	C	P	M	56	8	Yes	
CRPCPP	C	R	P	C	P	P	54	not found	Yes	
CRPCWL	C	R	P	C	W	L	113	8	Yes	
CRPCWM	C	R	P	C	W	M	87	8	Yes	
CRPHAL	C	R	P	H	A	L	1066	9	Yes	
CRPHAM	C	R	P	H	A	M	1632	8	Yes	
CRPHAP	C	R	P	H	A	P	3896	4	Yes	
CRPHCL	C	R	P	H	C	L	96	8	Yes	
CRPHCM	C	R	P	H	C	M	57	8	Yes	
CRPHIL	C	R	P	H	I	L	1015	8	Yes	
CRPHIM	C	R	P	H	I	M	1234	8	Yes	
CRPHIP	C	R	P	H	I	P	1479	4	Yes	
CRPHLL	C	R	P	H	L	L	1057	8	Yes	
CRPHLM	C	R	P	H	L	M	2163	8	Yes	
CRPHLP	C	R	P	H	L	P	2639	4	Yes	
CRPHWL	C	R	P	H	W	L	77	8	Yes	
CRPHWM	C	R	P	H	W	M	87	8	Yes	
CRPLAL	C	R	P	L	A	L	1454	9	Yes	
CRPLAM	C	R	P	L	A	M	2729	8	Yes	
CRPLAP	C	R	P	L	A	P	8858	4	Yes	
CRPLAS	C	R	P	L	A	S	63	1	Yes	
CRPLCL	C	R	P	L	C	L	61	8	Yes	
CRPLIL	C	R	P	L	I	L	1837	8	Yes	
CRPLIM	C	R	P	L	I	M	1919	8	Yes	
CRPLIP	C	R	P	L	I	P	3662	4	Yes	
CRPLLL	C	R	P	L	L	L	758	8	Yes	
CRPLLM	C	R	P	L	L	M	1623	8	Yes	
CRPLLP	C	R	P	L	L	P	3424	4	Yes	
CRPLNN	C	R	P	L	N	N	120	not found	Yes	
CRPLWL	C	R	P	L	W	L	229	8	Yes	
CRPLWM	C	R	P	L	W	M	72	8	Yes	
CRPLWP	C	R	P	L	W	P	57	4	Yes	
CRPRAL	C	R	P	R	A	L	1788	9	Yes	
CRPRAM	C	R	P	R	A	M	2080	8	Yes	
CRPRAP	C	R	P	R	A	P	2147	4	Yes	
CRPRAS	C	R	P	R	A	S	433	1	Yes	
CRPRCL	C	R	P	R	C	L	63	8	Yes	
CRPRDM	C	R	P	R	D	M	53	8	Yes	
CRPRIL	C	R	P	R	I	L	2336	8	Yes	
CRPRIM	C	R	P	R	I	M	1833	8	Yes	
CRPRIP	C	R	P	R	I	P	1248	4	Yes	
CRPRIS	C	R	P	R	I	S	97	1	Yes	
CRPRLL	C	R	P	R	L	L	867	8	Yes	
CRPRLM	C	R	P	R	L	M	1368	8	Yes	
CRPRLP	C	R	P	R	L	P	1636	4	Yes	
CRPRNN	C	R	P	R	N	N	151	not found	Yes	
CRPRPL	C	R	P	R	P	L	160	8	Yes	
CRPRPM	C	R	P	R	P	M	209	8	Yes	
CRPRWL	C	R	P	R	W	L	144	8	Yes	
CRPRWM	C	R	P	R	W	M	332	8	Yes	
CRPRWP	C	R	P	R	W	P	62	4	Yes	
KNNCAL	K	N	N	C	A	L	6669	9	Yes	
KNNCAM	K	N	N	C	A	M	3423	8	Yes	
KNNCAP	K	N	N	C	A	P	750	4	Yes	
KNNCAS	K	N	N	C	A	S	288	1	Yes	
KNNCCL	K	N	N	C	C	L	9272	8	Yes	
KNNCCM	K	N	N	C	C	M	2046	8	Yes	
KNNCCP	K	N	N	C	C	P	422	4	Yes	
KNNCCS	K	N	N	C	C	S	334	2	Yes	
KNNCDL	K	N	N	C	D	L	11926	8	Yes	
KNNCDM	K	N	N	C	D	M	4272	8	Yes	
KNNCDP	K	N	N	C	D	P	1005	not found	Yes	
KNNCDS	K	N	N	C	D	S	1121	2	Yes	
KNNCIL	K	N	N	C	I	L	16276	8	Yes	
KNNCIM	K	N	N	C	I	M	14311	8	Yes	
KNNCIP	K	N	N	C	I	P	1970	4	Yes	
KNNCIS	K	N	N	C	I	S	833	1	Yes	
KNNCLL	K	N	N	C	L	L	3479	8	Yes	
KNNCLM	K	N	N	C	L	M	2686	8	Yes	
KNNCLP	K	N	N	C	L	P	664	4	Yes	
KNNCLS	K	N	N	C	L	S	90	1	Yes	
KNNCNL	K	N	N	C	N	L	130	not found	Yes	
KNNCNN	K	N	N	C	N	N	73351	not found	Yes	
KNNCPL	K	N	N	C	P	L	24346	8	Yes	
KNNCPM	K	N	N	C	P	M	20251	8	Yes	
KNNCPP	K	N	N	C	P	P	3479	not found	Yes	
KNNCPS	K	N	N	C	P	S	1195	2	Yes	
KNNCWL	K	N	N	C	W	L	16388	8	Yes	
KNNCWM	K	N	N	C	W	M	9736	8	Yes	
KNNCWP	K	N	N	C	W	P	1275	4	Yes	
KNNCWS	K	N	N	C	W	S	887	2	Yes	
KNNHAM	K	N	N	H	A	M	69	8	Yes	
KNNHIL	K	N	N	H	I	L	66	8	Yes	
KNNHIM	K	N	N	H	I	M	103	8	Yes	
KNNHIP	K	N	N	H	I	P	76	4	Yes	
KNNHLM	K	N	N	H	L	M	55	8	Yes	
KNNHPM	K	N	N	H	P	M	65	8	Yes	
KNNHWM	K	N	N	H	W	M	54	8	Yes	
KNNLAL	K	N	N	L	A	L	4029	9	Yes	
KNNLAM	K	N	N	L	A	M	2155	8	Yes	
KNNLAP	K	N	N	L	A	P	431	4	Yes	
KNNLAS	K	N	N	L	A	S	556	1	Yes	
KNNLCL	K	N	N	L	C	L	6685	8	Yes	
KNNLCM	K	N	N	L	C	M	1857	8	Yes	
KNNLCP	K	N	N	L	C	P	240	4	Yes	
KNNLCS	K	N	N	L	C	S	592	2	Yes	
KNNLDL	K	N	N	L	D	L	2622	8	Yes	
KNNLDM	K	N	N	L	D	M	1068	8	Yes	
KNNLDP	K	N	N	L	D	P	154	not found	Yes	
KNNLDS	K	N	N	L	D	S	645	2	Yes	
KNNLIL	K	N	N	L	I	L	5152	8	Yes	
KNNLIM	K	N	N	L	I	M	2908	8	Yes	
KNNLIP	K	N	N	L	I	P	489	4	Yes	
KNNLIS	K	N	N	L	I	S	1577	1	Yes	
KNNLLL	K	N	N	L	L	L	817	8	Yes	
KNNLLM	K	N	N	L	L	M	919	8	Yes	
KNNLLP	K	N	N	L	L	P	143	4	Yes	
KNNLLS	K	N	N	L	L	S	51	1	Yes	
KNNLNN	K	N	N	L	N	N	7038	not found	Yes	
KNNLPL	K	N	N	L	P	L	3075	8	Yes	
KNNLPM	K	N	N	L	P	M	2494	8	Yes	
KNNLPP	K	N	N	L	P	P	204	not found	Yes	
KNNLPS	K	N	N	L	P	S	408	2	Yes	
KNNLWL	K	N	N	L	W	L	7524	8	Yes	
KNNLWM	K	N	N	L	W	M	3554	8	Yes	
KNNLWP	K	N	N	L	W	P	603	4	Yes	
KNNLWS	K	N	N	L	W	S	1056	2	Yes	
KNNRAL	K	N	N	R	A	L	493	9	Yes	
KNNRAM	K	N	N	R	A	M	275	8	Yes	
KNNRAP	K	N	N	R	A	P	87	4	Yes	
KNNRCL	K	N	N	R	C	L	1102	8	Yes	
KNNRCM	K	N	N	R	C	M	436	8	Yes	
KNNRDL	K	N	N	R	D	L	3040	8	Yes	
KNNRDM	K	N	N	R	D	M	1424	8	Yes	
KNNRDP	K	N	N	R	D	P	140	not found	Yes	
KNNRIL	K	N	N	R	I	L	1322	8	Yes	
KNNRIM	K	N	N	R	I	M	1790	8	Yes	
KNNRIP	K	N	N	R	I	P	653	4	Yes	
KNNRLL	K	N	N	R	L	L	246	8	Yes	
KNNRLM	K	N	N	R	L	M	252	8	Yes	
KNNRLP	K	N	N	R	L	P	51	4	Yes	
KNNRNN	K	N	N	R	N	N	20783	not found	Yes	
KNNRPL	K	N	N	R	P	L	5119	8	Yes	
KNNRPM	K	N	N	R	P	M	3269	8	Yes	
KNNRPP	K	N	N	R	P	P	2744	not found	Yes	
KNNRPS	K	N	N	R	P	S	188	2	Yes	
KNNRWL	K	N	N	R	W	L	3217	8	Yes	
KNNRWM	K	N	N	R	W	M	2213	8	Yes	
KNNRWP	K	N	N	R	W	P	433	4	Yes	
KNOCAL	K	N	O	C	A	L	133	9	Yes	
KNOCAM	K	N	O	C	A	M	149	8	Yes	
KNOCCL	K	N	O	C	C	L	364	8	Yes	
KNOCCM	K	N	O	C	C	M	114	8	Yes	
KNOCDL	K	N	O	C	D	L	301	8	Yes	
KNOCDM	K	N	O	C	D	M	99	8	Yes	
KNOCIL	K	N	O	C	I	L	473	8	Yes	
KNOCIM	K	N	O	C	I	M	275	8	Yes	
KNOCLL	K	N	O	C	L	L	114	8	Yes	
KNOCLM	K	N	O	C	L	M	111	8	Yes	
KNOCPL	K	N	O	C	P	L	489	8	Yes	
KNOCPM	K	N	O	C	P	M	272	8	Yes	
KNOCWL	K	N	O	C	W	L	485	8	Yes	
KNOCWM	K	N	O	C	W	M	252	8	Yes	
KNOHAL	K	N	O	H	A	L	58	9	Yes	
KNOHAM	K	N	O	H	A	M	80	8	Yes	
KNOHCL	K	N	O	H	C	L	213	8	Yes	
KNOHIL	K	N	O	H	I	L	121	8	Yes	
KNOHIM	K	N	O	H	I	M	130	8	Yes	
KNOHLM	K	N	O	H	L	M	74	8	Yes	
KNOHWL	K	N	O	H	W	L	258	8	Yes	
KNOHWM	K	N	O	H	W	M	113	8	Yes	
KNOLCL	K	N	O	L	C	L	86	8	Yes	
KNOLWL	K	N	O	L	W	L	84	8	Yes	
KNORAL	K	N	O	R	A	L	814	9	Yes	
KNORAM	K	N	O	R	A	M	470	8	Yes	
KNORCL	K	N	O	R	C	L	2425	8	Yes	
KNORCM	K	N	O	R	C	M	739	8	Yes	
KNORCP	K	N	O	R	C	P	53	4	Yes	
KNORDL	K	N	O	R	D	L	3005	8	Yes	
KNORDM	K	N	O	R	D	M	1436	8	Yes	
KNORDP	K	N	O	R	D	P	72	not found	Yes	
KNORIL	K	N	O	R	I	L	1449	8	Yes	
KNORIM	K	N	O	R	I	M	1462	8	Yes	
KNORIP	K	N	O	R	I	P	165	4	Yes	
KNORLL	K	N	O	R	L	L	263	8	Yes	
KNORLM	K	N	O	R	L	M	320	8	Yes	
KNORNN	K	N	O	R	N	N	614	not found	Yes	
KNORPL	K	N	O	R	P	L	3322	8	Yes	
KNORPM	K	N	O	R	P	M	1227	8	Yes	
KNORPP	K	N	O	R	P	P	724	not found	Yes	
KNORPS	K	N	O	R	P	S	79	2	Yes	
KNORWL	K	N	O	R	W	L	3832	8	Yes	
KNORWM	K	N	O	R	W	M	1875	8	Yes	
KNORWP	K	N	O	R	W	P	249	4	Yes	
KNPCAL	K	N	P	C	A	L	264	9	Yes	
KNPCAM	K	N	P	C	A	M	239	8	Yes	
KNPCCL	K	N	P	C	C	L	661	8	Yes	
KNPCCM	K	N	P	C	C	M	197	8	Yes	
KNPCDL	K	N	P	C	D	L	294	8	Yes	
KNPCDM	K	N	P	C	D	M	253	8	Yes	
KNPCIL	K	N	P	C	I	L	746	8	Yes	
KNPCIM	K	N	P	C	I	M	712	8	Yes	
KNPCIP	K	N	P	C	I	P	132	4	Yes	
KNPCLL	K	N	P	C	L	L	326	8	Yes	
KNPCLM	K	N	P	C	L	M	536	8	Yes	
KNPCNN	K	N	P	C	N	N	115	not found	Yes	
KNPCPL	K	N	P	C	P	L	498	8	Yes	
KNPCPM	K	N	P	C	P	M	456	8	Yes	
KNPCPP	K	N	P	C	P	P	85	not found	Yes	
KNPCWL	K	N	P	C	W	L	1015	8	Yes	
KNPCWM	K	N	P	C	W	M	357	8	Yes	
KNPCWP	K	N	P	C	W	P	61	4	Yes	
KNPHAM	K	N	P	H	A	M	86	8	Yes	
KNPHIL	K	N	P	H	I	L	195	8	Yes	
KNPHIM	K	N	P	H	I	M	69	8	Yes	
KNPHIP	K	N	P	H	I	P	103	4	Yes	
KNPLWL	K	N	P	L	W	L	72	8	Yes	
KNPRAL	K	N	P	R	A	L	589	9	Yes	
KNPRAM	K	N	P	R	A	M	413	8	Yes	
KNPRCL	K	N	P	R	C	L	921	8	Yes	
KNPRCM	K	N	P	R	C	M	380	8	Yes	
KNPRDL	K	N	P	R	D	L	1398	8	Yes	
KNPRDM	K	N	P	R	D	M	738	8	Yes	
KNPRDP	K	N	P	R	D	P	96	not found	Yes	
KNPRIL	K	N	P	R	I	L	874	8	Yes	
KNPRIM	K	N	P	R	I	M	951	8	Yes	
KNPRIP	K	N	P	R	I	P	327	4	Yes	
KNPRLL	K	N	P	R	L	L	220	8	Yes	
KNPRLM	K	N	P	R	L	M	202	8	Yes	
KNPRLP	K	N	P	R	L	P	92	4	Yes	
KNPRNN	K	N	P	R	N	N	795	not found	Yes	
KNPRPL	K	N	P	R	P	L	2029	8	Yes	
KNPRPM	K	N	P	R	P	M	1492	8	Yes	
KNPRPP	K	N	P	R	P	P	716	not found	Yes	
KNPRPS	K	N	P	R	P	S	83	2	Yes	
KNPRWL	K	N	P	R	W	L	2357	8	Yes	
KNPRWM	K	N	P	R	W	M	1075	8	Yes	
KNPRWP	K	N	P	R	W	P	318	4	Yes	
KNSCAL	K	N	S	C	A	L	292	9	Yes	
KNSCAM	K	N	S	C	A	M	191	8	Yes	
KNSCCL	K	N	S	C	C	L	468	8	Yes	
KNSCCM	K	N	S	C	C	M	169	8	Yes	
KNSCDL	K	N	S	C	D	L	583	8	Yes	
KNSCDM	K	N	S	C	D	M	175	8	Yes	
KNSCIL	K	N	S	C	I	L	1635	8	Yes	
KNSCIM	K	N	S	C	I	M	858	8	Yes	
KNSCIP	K	N	S	C	I	P	111	4	Yes	
KNSCLL	K	N	S	C	L	L	351	8	Yes	
KNSCLM	K	N	S	C	L	M	256	8	Yes	
KNSCNN	K	N	S	C	N	N	205	not found	Yes	
KNSCPL	K	N	S	C	P	L	1466	8	Yes	
KNSCPM	K	N	S	C	P	M	1647	8	Yes	
KNSCPP	K	N	S	C	P	P	140	not found	Yes	
KNSCWL	K	N	S	C	W	L	771	8	Yes	
KNSCWM	K	N	S	C	W	M	341	8	Yes	
KNSHAL	K	N	S	H	A	L	94	9	Yes	
KNSHAM	K	N	S	H	A	M	133	8	Yes	
KNSHCL	K	N	S	H	C	L	838	8	Yes	
KNSHCM	K	N	S	H	C	M	202	8	Yes	
KNSHIL	K	N	S	H	I	L	188	8	Yes	
KNSHIM	K	N	S	H	I	M	178	8	Yes	
KNSHLL	K	N	S	H	L	L	145	8	Yes	
KNSHLM	K	N	S	H	L	M	170	8	Yes	
KNSHNN	K	N	S	H	N	N	79	not found	Yes	
KNSHWL	K	N	S	H	W	L	579	8	Yes	
KNSHWM	K	N	S	H	W	M	424	8	Yes	
KNSHWP	K	N	S	H	W	P	78	4	Yes	
KNSLCL	K	N	S	L	C	L	183	8	Yes	
KNSLIL	K	N	S	L	I	L	102	8	Yes	
KNSLLM	K	N	S	L	L	M	80	8	Yes	
KNSLWL	K	N	S	L	W	L	246	8	Yes	
KNSLWM	K	N	S	L	W	M	67	8	Yes	
KNSLWP	K	N	S	L	W	P	75	4	Yes	
KNSRAL	K	N	S	R	A	L	2600	9	Yes	
KNSRAM	K	N	S	R	A	M	2040	8	Yes	
KNSRAP	K	N	S	R	A	P	324	4	Yes	
KNSRAS	K	N	S	R	A	S	119	1	Yes	
KNSRCL	K	N	S	R	C	L	6885	8	Yes	
KNSRCM	K	N	S	R	C	M	2462	8	Yes	
KNSRCP	K	N	S	R	C	P	213	4	Yes	
KNSRCS	K	N	S	R	C	S	133	2	Yes	
KNSRDL	K	N	S	R	D	L	6168	8	Yes	
KNSRDM	K	N	S	R	D	M	5934	8	Yes	
KNSRDP	K	N	S	R	D	P	492	not found	Yes	
KNSRDS	K	N	S	R	D	S	109	2	Yes	
KNSRIL	K	N	S	R	I	L	5369	8	Yes	
KNSRIM	K	N	S	R	I	M	8228	8	Yes	
KNSRIP	K	N	S	R	I	P	2097	4	Yes	
KNSRIS	K	N	S	R	I	S	446	1	Yes	
KNSRLL	K	N	S	R	L	L	1535	8	Yes	
KNSRLM	K	N	S	R	L	M	1913	8	Yes	
KNSRLP	K	N	S	R	L	P	558	4	Yes	
KNSRLS	K	N	S	R	L	S	276	1	Yes	
KNSRNN	K	N	S	R	N	N	3755	not found	Yes	
KNSRPL	K	N	S	R	P	L	9927	8	Yes	
KNSRPM	K	N	S	R	P	M	10195	8	Yes	
KNSRPP	K	N	S	R	P	P	4910	not found	Yes	
KNSRPS	K	N	S	R	P	S	462	2	Yes	
KNSRWL	K	N	S	R	W	L	11269	8	Yes	
KNSRWM	K	N	S	R	W	M	7199	8	Yes	
KNSRWP	K	N	S	R	W	P	1689	4	Yes	
KNSRWS	K	N	S	R	W	S	435	2	Yes	
KRNCAL	K	R	N	C	A	L	1324	9	Yes	
KRNCAM	K	R	N	C	A	M	509	8	Yes	
KRNCAP	K	R	N	C	A	P	101	4	Yes	
KRNCAS	K	R	N	C	A	S	117	1	Yes	
KRNCCL	K	R	N	C	C	L	1620	8	Yes	
KRNCCM	K	R	N	C	C	M	539	8	Yes	
KRNCCP	K	R	N	C	C	P	60	4	Yes	
KRNCDL	K	R	N	C	D	L	1326	8	Yes	
KRNCDM	K	R	N	C	D	M	489	8	Yes	
KRNCDP	K	R	N	C	D	P	72	not found	Yes	
KRNCIL	K	R	N	C	I	L	3099	8	Yes	
KRNCIM	K	R	N	C	I	M	1841	8	Yes	
KRNCIP	K	R	N	C	I	P	319	4	Yes	
KRNCIS	K	R	N	C	I	S	205	1	Yes	
KRNCLL	K	R	N	C	L	L	293	8	Yes	
KRNCLM	K	R	N	C	L	M	356	8	Yes	
KRNCNN	K	R	N	C	N	N	5982	not found	Yes	
KRNCPL	K	R	N	C	P	L	2882	8	Yes	
KRNCPM	K	R	N	C	P	M	3086	8	Yes	
KRNCPP	K	R	N	C	P	P	544	not found	Yes	
KRNCWL	K	R	N	C	W	L	2857	8	Yes	
KRNCWM	K	R	N	C	W	M	2219	8	Yes	
KRNCWP	K	R	N	C	W	P	306	4	Yes	
KRNCWS	K	R	N	C	W	S	131	2	Yes	
KRNHCL	K	R	N	H	C	L	113	8	Yes	
KRNHWL	K	R	N	H	W	L	61	8	Yes	
KRNLAL	K	R	N	L	A	L	2798	9	Yes	
KRNLAM	K	R	N	L	A	M	833	8	Yes	
KRNLAP	K	R	N	L	A	P	242	4	Yes	
KRNLAS	K	R	N	L	A	S	71	1	Yes	
KRNLCL	K	R	N	L	C	L	2608	8	Yes	
KRNLCM	K	R	N	L	C	M	1081	8	Yes	
KRNLCP	K	R	N	L	C	P	101	4	Yes	
KRNLDL	K	R	N	L	D	L	176	8	Yes	
KRNLDM	K	R	N	L	D	M	160	8	Yes	
KRNLIL	K	R	N	L	I	L	3337	8	Yes	
KRNLIM	K	R	N	L	I	M	1966	8	Yes	
KRNLIP	K	R	N	L	I	P	353	4	Yes	
KRNLIS	K	R	N	L	I	S	284	1	Yes	
KRNLLL	K	R	N	L	L	L	498	8	Yes	
KRNLLM	K	R	N	L	L	M	651	8	Yes	
KRNLLP	K	R	N	L	L	P	123	4	Yes	
KRNLNN	K	R	N	L	N	N	1361	not found	Yes	
KRNLPL	K	R	N	L	P	L	206	8	Yes	
KRNLPM	K	R	N	L	P	M	1047	8	Yes	
KRNLPP	K	R	N	L	P	P	66	not found	Yes	
KRNLWL	K	R	N	L	W	L	3758	8	Yes	
KRNLWM	K	R	N	L	W	M	2193	8	Yes	
KRNLWP	K	R	N	L	W	P	469	4	Yes	
KRNLWS	K	R	N	L	W	S	95	2	Yes	
KRNRAL	K	R	N	R	A	L	253	9	Yes	
KRNRAM	K	R	N	R	A	M	121	8	Yes	
KRNRCL	K	R	N	R	C	L	292	8	Yes	
KRNRCM	K	R	N	R	C	M	112	8	Yes	
KRNRDL	K	R	N	R	D	L	1749	8	Yes	
KRNRDM	K	R	N	R	D	M	1040	8	Yes	
KRNRDP	K	R	N	R	D	P	85	not found	Yes	
KRNRDS	K	R	N	R	D	S	58	2	Yes	
KRNRIL	K	R	N	R	I	L	1951	8	Yes	
KRNRIM	K	R	N	R	I	M	614	8	Yes	
KRNRIP	K	R	N	R	I	P	151	4	Yes	
KRNRLL	K	R	N	R	L	L	156	8	Yes	
KRNRLM	K	R	N	R	L	M	63	8	Yes	
KRNRNN	K	R	N	R	N	N	4801	not found	Yes	
KRNRPL	K	R	N	R	P	L	1337	8	Yes	
KRNRPM	K	R	N	R	P	M	1184	8	Yes	
KRNRPP	K	R	N	R	P	P	698	not found	Yes	
KRNRWL	K	R	N	R	W	L	584	8	Yes	
KRNRWM	K	R	N	R	W	M	370	8	Yes	
KRNRWS	K	R	N	R	W	S	132	2	Yes	
KROCAL	K	R	O	C	A	L	222	9	Yes	
KROCAM	K	R	O	C	A	M	156	8	Yes	
KROCAP	K	R	O	C	A	P	58	4	Yes	
KROCCL	K	R	O	C	C	L	55	8	Yes	
KROCDL	K	R	O	C	D	L	136	8	Yes	
KROCIL	K	R	O	C	I	L	651	8	Yes	
KROCIM	K	R	O	C	I	M	533	8	Yes	
KROCIP	K	R	O	C	I	P	74	4	Yes	
KROCLL	K	R	O	C	L	L	69	8	Yes	
KROCLM	K	R	O	C	L	M	104	8	Yes	
KROCPL	K	R	O	C	P	L	173	8	Yes	
KROCPM	K	R	O	C	P	M	120	8	Yes	
KROCWL	K	R	O	C	W	L	159	8	Yes	
KROHCL	K	R	O	H	C	L	139	8	Yes	
KROHWL	K	R	O	H	W	L	93	8	Yes	
KROLAL	K	R	O	L	A	L	415	9	Yes	
KROLAM	K	R	O	L	A	M	200	8	Yes	
KROLCL	K	R	O	L	C	L	618	8	Yes	
KROLCM	K	R	O	L	C	M	67	8	Yes	
KROLIL	K	R	O	L	I	L	597	8	Yes	
KROLIM	K	R	O	L	I	M	317	8	Yes	
KROLIP	K	R	O	L	I	P	92	4	Yes	
KROLLL	K	R	O	L	L	L	136	8	Yes	
KROLLM	K	R	O	L	L	M	105	8	Yes	
KROLPM	K	R	O	L	P	M	55	8	Yes	
KROLWL	K	R	O	L	W	L	554	8	Yes	
KRORAL	K	R	O	R	A	L	173	9	Yes	
KRORAM	K	R	O	R	A	M	212	8	Yes	
KRORCL	K	R	O	R	C	L	539	8	Yes	
KRORCM	K	R	O	R	C	M	119	8	Yes	
KRORDL	K	R	O	R	D	L	800	8	Yes	
KRORDM	K	R	O	R	D	M	381	8	Yes	
KRORDS	K	R	O	R	D	S	80	2	Yes	
KRORIL	K	R	O	R	I	L	345	8	Yes	
KRORIM	K	R	O	R	I	M	419	8	Yes	
KRORPL	K	R	O	R	P	L	447	8	Yes	
KRORPM	K	R	O	R	P	M	197	8	Yes	
KRORPS	K	R	O	R	P	S	76	2	Yes	
KRORWL	K	R	O	R	W	L	667	8	Yes	
KRORWM	K	R	O	R	W	M	241	8	Yes	
KRORWS	K	R	O	R	W	S	116	2	Yes	
KRPCAL	K	R	P	C	A	L	837	9	Yes	
KRPCAM	K	R	P	C	A	M	546	8	Yes	
KRPCAP	K	R	P	C	A	P	167	4	Yes	
KRPCCL	K	R	P	C	C	L	154	8	Yes	
KRPCDL	K	R	P	C	D	L	311	8	Yes	
KRPCDM	K	R	P	C	D	M	118	8	Yes	
KRPCDP	K	R	P	C	D	P	78	not found	Yes	
KRPCIL	K	R	P	C	I	L	2993	8	Yes	
KRPCIM	K	R	P	C	I	M	2301	8	Yes	
KRPCIP	K	R	P	C	I	P	331	4	Yes	
KRPCLL	K	R	P	C	L	L	551	8	Yes	
KRPCLM	K	R	P	C	L	M	363	8	Yes	
KRPCLP	K	R	P	C	L	P	114	4	Yes	
KRPCNN	K	R	P	C	N	N	218	not found	Yes	
KRPCPL	K	R	P	C	P	L	352	8	Yes	
KRPCPM	K	R	P	C	P	M	842	8	Yes	
KRPCPP	K	R	P	C	P	P	71	not found	Yes	
KRPCWL	K	R	P	C	W	L	581	8	Yes	
KRPCWM	K	R	P	C	W	M	486	8	Yes	
KRPHAM	K	R	P	H	A	M	71	8	Yes	
KRPHCL	K	R	P	H	C	L	90	8	Yes	
KRPHDL	K	R	P	H	D	L	54	8	Yes	
KRPHIL	K	R	P	H	I	L	86	8	Yes	
KRPHIM	K	R	P	H	I	M	80	8	Yes	
KRPHLL	K	R	P	H	L	L	55	8	Yes	
KRPHWL	K	R	P	H	W	L	111	8	Yes	
KRPHWM	K	R	P	H	W	M	123	8	Yes	
KRPLAL	K	R	P	L	A	L	967	9	Yes	
KRPLAM	K	R	P	L	A	M	769	8	Yes	
KRPLAP	K	R	P	L	A	P	236	4	Yes	
KRPLCL	K	R	P	L	C	L	63	8	Yes	
KRPLDL	K	R	P	L	D	L	165	8	Yes	
KRPLDM	K	R	P	L	D	M	118	8	Yes	
KRPLIL	K	R	P	L	I	L	2057	8	Yes	
KRPLIM	K	R	P	L	I	M	1627	8	Yes	
KRPLIP	K	R	P	L	I	P	230	4	Yes	
KRPLLL	K	R	P	L	L	L	235	8	Yes	
KRPLLM	K	R	P	L	L	M	273	8	Yes	
KRPLLP	K	R	P	L	L	P	78	4	Yes	
KRPLNN	K	R	P	L	N	N	59	not found	Yes	
KRPLPL	K	R	P	L	P	L	120	8	Yes	
KRPLPM	K	R	P	L	P	M	235	8	Yes	
KRPLWL	K	R	P	L	W	L	471	8	Yes	
KRPLWM	K	R	P	L	W	M	137	8	Yes	
KRPRAL	K	R	P	R	A	L	872	9	Yes	
KRPRAM	K	R	P	R	A	M	885	8	Yes	
KRPRAP	K	R	P	R	A	P	102	4	Yes	
KRPRAS	K	R	P	R	A	S	83	1	Yes	
KRPRCL	K	R	P	R	C	L	1720	8	Yes	
KRPRCM	K	R	P	R	C	M	474	8	Yes	
KRPRCP	K	R	P	R	C	P	125	4	Yes	
KRPRCS	K	R	P	R	C	S	445	2	Yes	
KRPRDL	K	R	P	R	D	L	3278	8	Yes	
KRPRDM	K	R	P	R	D	M	2078	8	Yes	
KRPRDP	K	R	P	R	D	P	257	not found	Yes	
KRPRDS	K	R	P	R	D	S	443	2	Yes	
KRPRIL	K	R	P	R	I	L	2047	8	Yes	
KRPRIM	K	R	P	R	I	M	2767	8	Yes	
KRPRIP	K	R	P	R	I	P	904	4	Yes	
KRPRIS	K	R	P	R	I	S	299	1	Yes	
KRPRLL	K	R	P	R	L	L	400	8	Yes	
KRPRLM	K	R	P	R	L	M	276	8	Yes	
KRPRLP	K	R	P	R	L	P	92	4	Yes	
KRPRLS	K	R	P	R	L	S	58	1	Yes	
