Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
BRPCCS	B	R	P	C	C	S	392	2	Yes	
BRPCDL	B	R	P	C	D	L	217	8	Yes	
BRPCDS	B	R	P	C	D	S	67	2	Yes	
BRPCIL	B	R	P	C	I	L	167	8	Yes	
BRPCIS	B	R	P	C	I	S	61	1	Yes	
BRPCNN	B	R	P	C	N	N	123	not found	Yes	
BRPCPL	B	R	P	C	P	L	293	8	Yes	
BRPCPS	B	R	P	C	P	S	53	2	Yes	
BRPCWL	B	R	P	C	W	L	1167	8	Yes	
BRPCWM	B	R	P	C	W	M	160	8	Yes	
BRPCWP	B	R	P	C	W	P	277	4	Yes	
BRPCWS	B	R	P	C	W	S	464	2	Yes	
BRPHCL	B	R	P	H	C	L	644	8	Yes	
BRPHCM	B	R	P	H	C	M	333	8	Yes	
BRPHLL	B	R	P	H	L	L	79	8	Yes	
BRPHWL	B	R	P	H	W	L	324	8	Yes	
BRPHWM	B	R	P	H	W	M	203	8	Yes	
BRPHWP	B	R	P	H	W	P	76	4	Yes	
BRPLAL	B	R	P	L	A	L	85	9	Yes	
BRPLAM	B	R	P	L	A	M	77	8	Yes	
BRPLCL	B	R	P	L	C	L	471	8	Yes	
BRPLCM	B	R	P	L	C	M	85	8	Yes	
BRPLCP	B	R	P	L	C	P	53	4	Yes	
BRPLCS	B	R	P	L	C	S	155	2	Yes	
BRPLIL	B	R	P	L	I	L	72	8	Yes	
BRPLWL	B	R	P	L	W	L	424	8	Yes	
BRPLWM	B	R	P	L	W	M	68	8	Yes	
BRPLWP	B	R	P	L	W	P	85	4	Yes	
BRPLWS	B	R	P	L	W	S	139	2	Yes	
BRPRAL	B	R	P	R	A	L	52	9	Yes	
BRPRCL	B	R	P	R	C	L	7588	8	Yes	
BRPRCM	B	R	P	R	C	M	2608	8	Yes	
BRPRCP	B	R	P	R	C	P	394	4	Yes	
BRPRCS	B	R	P	R	C	S	399	2	Yes	
BRPRDL	B	R	P	R	D	L	1188	8	Yes	
BRPRDM	B	R	P	R	D	M	344	8	Yes	
BRPRDP	B	R	P	R	D	P	138	not found	Yes	
BRPRDS	B	R	P	R	D	S	277	2	Yes	
BRPRIL	B	R	P	R	I	L	92	8	Yes	
BRPRIP	B	R	P	R	I	P	55	4	Yes	
BRPRLL	B	R	P	R	L	L	81	8	Yes	
BRPRNN	B	R	P	R	N	N	166	not found	Yes	
BRPRPL	B	R	P	R	P	L	481	8	Yes	
BRPRPM	B	R	P	R	P	M	162	8	Yes	
BRPRPP	B	R	P	R	P	P	70	not found	Yes	
BRPRPS	B	R	P	R	P	S	57	2	Yes	
BRPRWL	B	R	P	R	W	L	5277	8	Yes	
BRPRWM	B	R	P	R	W	M	1743	8	Yes	
BRPRWP	B	R	P	R	W	P	373	4	Yes	
BRPRWS	B	R	P	R	W	S	554	2	Yes	
CNNCAL	C	N	N	C	A	L	13028	9	Yes	
CNNCAM	C	N	N	C	A	M	28537	8	Yes	
CNNCAP	C	N	N	C	A	P	27072	4	Yes	
CNNCAS	C	N	N	C	A	S	292	1	Yes	
CNNCCL	C	N	N	C	C	L	3782	8	Yes	
CNNCCM	C	N	N	C	C	M	755	8	Yes	
CNNCCP	C	N	N	C	C	P	395	4	Yes	
CNNCCS	C	N	N	C	C	S	71	2	Yes	
CNNCDL	C	N	N	C	D	L	1562	8	Yes	
CNNCDM	C	N	N	C	D	M	636	8	Yes	
CNNCDP	C	N	N	C	D	P	123	not found	Yes	
CNNCDS	C	N	N	C	D	S	154	2	Yes	
