description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	48
Prism version when problem solved	PRISM ALPHA 1.0.29
Date & time problem solved	2018/02/19 - 11:52:33
Time reading (minutes & seconds)	9m47.82s
Time solving (minutes & seconds)	15.72s
Time writing (minutes & seconds)	23.63s
Total variables	545220
Total constraints	506150
Objective value	9.2475675009E8
