condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	
57	layer5 E | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 Q	12.0	20.0	
58	layer5 E | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 R	12.0	20.0	
59	layer5 E | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 S	12.0	20.0	
60	layer5 E | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 E;5 Z	0.0	0.0	
61	layer5 F | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 F	4.0	0.0	
62	layer5 F | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 G	4.0	0.0	
63	layer5 F | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 H	8.0	0.0	
64	layer5 F | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 I	8.0	0.0	
65	layer5 F | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 J	4.0	0.0	
66	layer5 F | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 K	4.0	0.0	
67	layer5 F | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 L	8.0	4.5	
68	layer5 F | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 M	12.0	4.5	
69	layer5 F | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 N	8.0	4.5	
70	layer5 F | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 O	4.0	4.5	
71	layer5 F | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 P	16.0	4.5	
72	layer5 F | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 Q	12.0	4.5	
73	layer5 F | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 R	8.0	4.5	
74	layer5 F | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 S	4.0	4.5	
75	layer5 F | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 F;5 Z	0.0	0.0	
76	layer5 G | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 F	4.0	0.0	
77	layer5 G | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 G	4.0	0.0	
78	layer5 G | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 H	4.0	0.0	
79	layer5 G | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 I	12.0	0.0	
80	layer5 G | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 J	4.0	0.0	
81	layer5 G | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 K	0.0	0.0	
82	layer5 G | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 L	8.0	20.0	
83	layer5 G | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 M	12.0	20.0	
84	layer5 G | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 N	4.0	20.0	
85	layer5 G | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 O	4.0	20.0	
86	layer5 G | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 P	16.0	20.0	
87	layer5 G | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 Q	8.0	20.0	
88	layer5 G | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 R	4.0	20.0	
89	layer5 G | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 S	0.0	20.0	
90	layer5 G | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 G;5 Z	0.0	0.0	
91	layer5 H | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 F	8.0	0.0	
92	layer5 H | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 G	8.0	0.0	
93	layer5 H | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 H	4.0	0.0	
94	layer5 H | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 I	4.0	0.0	
95	layer5 H | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 J	8.0	0.0	
96	layer5 H | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 K	0.0	0.0	
97	layer5 H | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 L	8.0	0.0	
98	layer5 H | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 M	8.0	0.0	
99	layer5 H | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 N	8.0	0.0	
100	layer5 H | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 O	4.0	0.0	
101	layer5 H | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 P	8.0	0.0	
102	layer5 H | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 Q	4.0	0.0	
103	layer5 H | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 R	4.0	0.0	
104	layer5 H | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 S	0.0	0.0	
105	layer5 H | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 H;5 Z	0.0	0.0	
106	layer5 I | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 F	4.0	0.0	
107	layer5 I | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 G	4.0	0.0	
108	layer5 I | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 H	4.0	0.0	
109	layer5 I | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 I	4.0	0.0	
110	layer5 I | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 J	8.0	0.0	
111	layer5 I | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 K	4.0	0.0	
112	layer5 I | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 L	4.0	4.5	
113	layer5 I | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 M	4.0	4.5	
114	layer5 I | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 N	4.0	4.5	
115	layer5 I | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 O	4.0	4.5	
116	layer5 I | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 P	4.0	4.5	
117	layer5 I | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 Q	4.0	4.5	
118	layer5 I | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 R	4.0	4.5	
119	layer5 I | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 S	0.0	4.5	
120	layer5 I | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 I;5 Z	0.0	0.0	
121	layer5 U | layer6 F	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 F	0.0	0.0	
122	layer5 U | layer6 G	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 G	0.0	0.0	
123	layer5 U | layer6 H	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 H	0.0	0.0	
124	layer5 U | layer6 I	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 I	0.0	0.0	
125	layer5 U | layer6 J	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 J	0.0	0.0	
126	layer5 U | layer6 K	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 K	0.0	0.0	
127	layer5 U | layer6 L	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 L	0.0	0.0	
128	layer5 U | layer6 M	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 M	0.0	0.0	
129	layer5 U | layer6 N	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 N	0.0	0.0	
130	layer5 U | layer6 O	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 O	0.0	0.0	
131	layer5 U | layer6 P	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 P	0.0	0.0	
132	layer5 U | layer6 Q	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 Q	0.0	0.0	
133	layer5 U | layer6 R	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 R	0.0	0.0	
134	layer5 U | layer6 S	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 S	0.0	0.0	
135	layer5 U | layer6 Z	0 A B;1 N;2 C G l s;3 B G L O U W;4 U;5 Z	0.0	0.0	
