description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	43
Prism version when problem solved	PRISM ALPHA 1.2.01
Date & time problem solved	2018/06/16 - 22:09:21
Time reading (minutes & seconds)	17.43s
Time solving (minutes & seconds)	12.67s
Time writing (minutes & seconds)	12.03s
Total variables	567315
Total constraints	528845
Objective value	4.8102342768E8
