cons_id	cons_slack	cons_dual
57035	-8.881784197001252E-16	0.0
57419	-1.1102230246251565E-16	0.0
57610	1.1102230246251565E-16	0.0
57802	5.551115123125783E-17	0.0
58002	1.1102230246251565E-16	0.0
58386	2.7755575615628914E-17	0.0
58571	1.1102230246251565E-16	0.0
58762	1.1102230246251565E-16	0.0
58954	-1.7763568394002505E-15	0.0
59147	-8.881784197001252E-16	0.0
59338	-2.220446049250313E-16	0.0
59731	-2.220446049250313E-16	0.0
59915	-2.7755575615628914E-17	0.0
60107	-1.3877787807814457E-17	0.0
60307	-3.469446951953614E-18	0.0
60491	-2.220446049250313E-16	0.0
60682	1.1102230246251565E-16	0.0
61258	8.881784197001252E-16	0.0
61266	4.440892098500626E-16	0.0
61458	2.220446049250313E-16	0.0
61834	8.881784197001252E-16	0.0
62219	-6.938893903907228E-18	0.0
62227	-3.469446951953614E-18	0.0
62986	-5.551115123125783E-17	0.0
63186	1.0842021724855044E-19	0.0
63378	1.0842021724855044E-19	0.0
63570	5.421010862427522E-20	0.0
63947	2.7755575615628914E-17	0.0
64339	-2.7755575615628914E-17	0.0
64530	3.469446951953614E-18	0.0
64907	5.551115123125783E-17	0.0
65299	-5.421010862427522E-20	0.0
65490	5.421010862427522E-20	0.0
65875	-2.710505431213761E-20	0.0
66250	1.3877787807814457E-17	0.0
66451	-3.469446951953614E-18	0.0
66635	6.938893903907228E-18	0.0
66643	-3.469446951953614E-18	0.0
66826	-8.881784197001252E-16	0.0
67595	-2.7755575615628914E-17	0.0
67603	-2.7755575615628914E-17	0.0
67786	-1.3877787807814457E-17	0.0
67978	6.938893903907228E-18	0.0
68171	-4.440892098500626E-16	0.0
68363	5.551115123125783E-17	0.0
68939	-1.1102230246251565E-16	0.0
69138	2.7755575615628914E-17	0.0
69514	-2.7755575615628914E-17	0.0
69899	2.220446049250313E-16	0.0
70098	6.938893903907228E-18	0.0
70475	-2.7755575615628914E-17	0.0
70482	2.7755575615628914E-17	0.0
70666	3.469446951953614E-18	0.0
71050	5.551115123125783E-17	0.0
71058	2.7755575615628914E-17	0.0
71435	-1.3877787807814457E-17	0.0
71626	-6.938893903907228E-18	0.0
71819	6.938893903907228E-18	0.0
72011	-2.220446049250313E-16	0.0
72203	-5.551115123125783E-17	0.0
72394	1.1102230246251565E-16	0.0
72586	-2.7755575615628914E-17	0.0
72595	-1.3877787807814457E-17	0.0
72787	-5.551115123125783E-17	0.0
72978	1.3877787807814457E-17	0.0
73171	-1.1102230246251565E-16	0.0
73354	1.3877787807814457E-17	0.0
73363	-6.938893903907228E-18	0.0
73547	2.220446049250313E-16	0.0
73739	-1.1102230246251565E-16	0.0
73747	-5.551115123125783E-17	0.0
74131	-1.3552527156068805E-20	0.0
74314	2.220446049250313E-16	0.0
74506	-1.1102230246251565E-16	0.0
74898	2.7755575615628914E-17	0.0
75091	-1.7763568394002505E-15	0.0
75275	-1.1102230246251565E-16	0.0
75283	-5.551115123125783E-17	0.0
75467	1.1102230246251565E-16	0.0
76234	1.1102230246251565E-16	0.0
76435	-2.7755575615628914E-17	0.0
77194	1.3877787807814457E-17	0.0
77387	2.220446049250313E-16	0.0
77578	1.3877787807814457E-17	0.0
77770	-1.3877787807814457E-17	0.0
78346	-5.551115123125783E-17	0.0
78538	1.1102230246251565E-16	0.0
78922	8.881784197001252E-16	0.0
79115	-6.938893903907228E-18	0.0
79123	-6.938893903907228E-18	0.0
79315	-1.3877787807814457E-17	0.0
79507	-6.938893903907228E-18	0.0
79691	2.7755575615628914E-17	0.0
79882	6.938893903907228E-18	0.0
80458	5.551115123125783E-17	0.0
