description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	2
Simplex iterations	1
Date & time problem solved	2017/11/13 - 17:37:15
Time reading (minutes & seconds)	26.5s
Time solving (minutes & seconds)	0.05s
Time writing (minutes & seconds)	0.32s
Total variables	34835
Total constraints	30235
Objective value	1229.66
