description	value
Optimization solver	CPLEX
Solution status	Optimal
Solution algorithm	1
Simplex iterations	85
Prism version when problem solved	PRISM ALPHA 1.1.07
Date & time problem solved	2018/05/19 - 15:34:36
Time reading (minutes & seconds)	4m5.43s
Time solving (minutes & seconds)	4m11.96s
Time writing (minutes & seconds)	15.45s
Total variables	1709169
Total constraints	1534876
Objective value	1.782069818E7
